33220,Aughton,,0,53.550,-2.917,  55
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.6,E,8,6.3,E,8,80,E,8,1007,E,8,218,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.439,E,8,0.173,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.3,E,8,5.3,E,8,76,E,8,1007,E,8,252,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.346,E,8,0.173,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.1,E,8,4.8,E,8,75,E,8,1007,E,8,249,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.299,E,8,0.173,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.0,E,8,4.6,E,8,74,E,8,1007,E,8,265,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.282,E,8,0.173,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.8,E,8,4.4,E,8,73,E,8,1007,E,8,263,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.258,E,8,0.173,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.7,E,8,4.6,E,8,75,E,8,1007,E,8,252,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.280,E,8,0.173,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.6,E,8,4.3,E,8,74,E,8,1007,E,8,276,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.253,E,8,0.173,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.6,E,8,4.0,E,8,73,E,8,1007,E,8,237,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.224,E,8,0.173,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,13,274,1,3,10,0,3,20,1,3,10,96,3,10,9,3,20,95,3,10,-9990,0,0,10,E,8,9,E,8,8.6,E,8,4.3,E,8,74,E,8,1007,E,8,214,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.257,E,8,0.173,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,136,1412,36,3,10,18,3,20,34,3,10,3995,3,10,481,3,20,3948,3,10,-9990,0,0,10,E,8,9,E,8,9.3,E,8,4.6,E,8,72,E,8,1007,E,8,298,E,8,4.7,E,8,-9990,0,0,-9990,0,0,1.280,E,8,0.173,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,248,1412,81,3,10,53,3,20,72,3,10,8988,3,10,4448,3,20,8207,3,10,-9990,0,0,10,E,8,9,E,8,10.1,E,8,3.7,E,8,65,E,8,1007,E,8,185,E,8,4.1,E,8,-9990,0,0,-9990,0,0,1.204,E,8,0.173,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,312,1412,110,3,10,78,3,20,93,3,10,11986,3,10,4712,3,20,10943,3,10,-9990,0,0,9,E,8,8,E,8,10.7,E,8,3.9,E,8,63,E,8,1007,E,8,271,E,8,4.1,E,8,-9990,0,0,-9990,0,0,1.219,E,8,0.173,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,325,1412,124,3,10,104,3,20,100,3,10,13474,3,10,7495,3,20,11747,3,10,-9990,0,0,9,E,8,8,E,8,11.2,E,8,4.1,E,8,62,E,8,1007,E,8,235,E,8,4.5,E,8,-9990,0,0,-9990,0,0,1.238,E,8,0.173,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,286,1412,95,3,10,59,3,20,83,3,10,10452,3,10,5185,3,20,9403,3,10,-9990,0,0,10,E,8,9,E,8,11.4,E,8,4.0,E,8,60,E,8,1007,E,8,148,E,8,4.9,E,8,-9990,0,0,-9990,0,0,1.225,E,8,0.173,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,196,1412,48,3,10,4,3,20,47,3,10,5320,3,10,316,3,20,5276,3,10,-9990,0,0,10,E,8,9,E,8,11.2,E,8,4.2,E,8,62,E,8,1007,E,8,190,E,8,4.3,E,8,-9990,0,0,-9990,0,0,1.245,E,8,0.173,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,60,627,3,3,10,0,3,20,3,3,10,381,3,10,10,3,20,380,3,10,-9990,0,0,10,E,8,9,E,8,10.7,E,8,4.7,E,8,67,E,8,1007,E,8,266,E,8,5.6,E,8,-9990,0,0,-9990,0,0,1.293,E,8,0.173,E,8,0.20,E,8,0,-9990,0,0
