39170,Belfast-Aldergrove,,0,54.650,-6.217,  68
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.5,E,8,6.0,E,8,90,E,8,1004,E,8,218,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.409,E,8,0.080,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.6,E,8,5.5,E,8,87,E,8,1004,E,8,207,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.363,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.3,E,8,5.1,E,8,86,E,8,1004,E,8,249,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.323,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.3,E,8,4.3,E,8,81,E,8,1004,E,8,265,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.257,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.2,E,8,4.1,E,8,81,E,8,1004,E,8,218,E,8,2.5,E,8,-9990,0,0,-9990,0,0,1.237,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.1,E,8,4.3,E,8,82,E,8,1004,E,8,207,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.253,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.1,E,8,4.0,E,8,81,E,8,1004,E,8,231,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.231,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.0,E,8,3.8,E,8,80,E,8,1004,E,8,237,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.208,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,10,E,8,9,E,8,7.1,E,8,4.0,E,8,81,E,8,1004,E,8,214,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.227,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,86,1412,19,3,10,0,3,20,19,3,10,2140,3,10,0,3,20,2140,3,10,-9990,0,0,10,E,8,9,E,8,7.9,E,8,4.4,E,8,78,E,8,1004,E,8,253,E,8,4.3,E,8,-9990,0,0,-9990,0,0,1.260,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,203,1412,41,3,10,0,3,20,41,3,10,4628,3,10,0,3,20,4628,3,10,-9990,0,0,10,E,8,9,E,8,8.9,E,8,3.8,E,8,70,E,8,1004,E,8,140,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.212,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,277,1412,52,3,10,0,3,20,52,3,10,5911,3,10,0,3,20,5911,3,10,-9990,0,0,10,E,8,9,E,8,9.6,E,8,6.8,E,8,82,E,8,1004,E,8,226,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.488,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,301,1412,76,3,10,2,3,20,76,3,10,8493,3,10,41,3,20,8484,3,10,-9990,0,0,10,E,8,9,E,8,10.5,E,8,4.4,E,8,66,E,8,1004,E,8,190,E,8,4.0,E,8,-9990,0,0,-9990,0,0,1.262,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,273,1412,67,3,10,0,3,20,67,3,10,7493,3,10,0,3,20,7493,3,10,-9990,0,0,10,E,8,9,E,8,11.0,E,8,4.3,E,8,64,E,8,1004,E,8,148,E,8,4.3,E,8,-9990,0,0,-9990,0,0,1.257,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,196,1412,54,3,10,27,3,20,50,3,10,5928,3,10,1578,3,20,5709,3,10,-9990,0,0,10,E,8,9,E,8,11.1,E,8,4.6,E,8,64,E,8,1004,E,8,190,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.279,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,75,1412,14,3,10,0,3,20,14,3,10,1698,3,10,0,3,20,1698,3,10,-9990,0,0,10,E,8,9,E,8,10.6,E,8,5.0,E,8,68,E,8,1004,E,8,221,E,8,5.2,E,8,-9990,0,0,-9990,0,0,1.312,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,9,E,8,8,E,8,9.9,E,8,5.1,E,8,72,E,8,1004,E,8,126,E,8,4.0,E,8,-9990,0,0,-9990,0,0,1.324,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.5,E,8,5.0,E,8,74,E,8,1005,E,8,200,E,8,4.5,E,8,-9990,0,0,-9990,0,0,1.320,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.1,E,8,4.7,E,8,74,E,8,1005,E,8,187,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.290,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,8.7,E,8,4.6,E,8,76,E,8,1005,E,8,191,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.282,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,8.2,E,8,4.4,E,8,77,E,8,1005,E,8,204,E,8,4.0,E,8,-9990,0,0,-9990,0,0,1.262,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,7.8,E,8,3.8,E,8,76,E,8,1005,E,8,165,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.213,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,7.4,E,8,2.7,E,8,72,E,8,1005,E,8,220,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.119,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,6.9,E,8,2.8,E,8,75,E,8,1005,E,8,216,E,8,2.5,E,8,-9990,0,0,-9990,0,0,1.131,E,8,0.080,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,6.4,E,8,2.6,E,8,76,E,8,1005,E,8,247,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.111,E,8,0.074,E,8,0.20,E,8,0,-9990,0,0
