31340,Glasgow Bishopton,,0,55.900,-4.533,  59
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,6,E,8,9.6,E,8,6.6,E,8,82,E,8,1007,E,8,218,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.477,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,6,E,8,9.1,E,8,6.5,E,8,84,E,8,1007,E,8,252,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.462,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,6,E,8,8.5,E,8,6.0,E,8,84,E,8,1007,E,8,249,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.407,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,6,E,8,8.3,E,8,5.7,E,8,84,E,8,1007,E,8,265,E,8,1.8,E,8,-9990,0,0,-9990,0,0,1.385,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,6,E,8,8.0,E,8,5.4,E,8,84,E,8,1007,E,8,263,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.357,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,6,E,8,7.7,E,8,5.5,E,8,86,E,8,1007,E,8,252,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.366,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,6,E,8,7.5,E,8,5.2,E,8,85,E,8,1007,E,8,276,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.338,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,6,E,8,7.3,E,8,4.9,E,8,85,E,8,1007,E,8,237,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.310,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,6,E,8,6,E,8,7.3,E,8,5.2,E,8,86,E,8,1007,E,8,214,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.334,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,77,1412,27,3,10,115,3,20,20,3,10,2829,3,10,0,3,20,2829,3,10,-9990,0,0,6,E,8,6,E,8,8.0,E,8,5.5,E,8,84,E,8,1007,E,8,298,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.367,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
