38530,YEOVILTON (NAVY),,0,51.000,-2.630,  23
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.6,E,8,7.4,E,8,86,E,8,1010,E,8,218,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.559,E,8,0.109,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.6,E,8,6.8,E,8,83,E,8,1010,E,8,252,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.497,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.4,E,8,6.4,E,8,82,E,8,1010,E,8,249,E,8,1.9,E,8,-9990,0,0,-9990,0,0,1.454,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.3,E,8,6.3,E,8,81,E,8,1010,E,8,310,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.438,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.2,E,8,6.0,E,8,81,E,8,1010,E,8,263,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.417,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.1,E,8,6.2,E,8,82,E,8,1010,E,8,252,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.434,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.1,E,8,6.0,E,8,81,E,8,1010,E,8,276,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.411,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.1,E,8,5.7,E,8,79,E,8,1010,E,8,237,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.386,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,36,453,2,3,10,0,3,20,2,3,10,219,3,10,9,3,20,218,3,10,-9990,0,0,10,E,8,9,E,8,9.2,E,8,6.0,E,8,80,E,8,1010,E,8,259,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.415,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,188,1412,51,3,10,16,3,20,49,3,10,5624,3,10,312,3,20,5582,3,10,-9990,0,0,10,E,8,9,E,8,10.6,E,8,6.7,E,8,76,E,8,1010,E,8,298,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.478,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
