39240,BELFAST HARBOUR,,0,54.600,-5.880,   5
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,12.6,E,8,7.5,E,8,71,E,8,1013,E,8,218,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.567,E,8,0.119,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,11.9,E,8,7.5,E,8,74,E,8,1013,E,8,207,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.567,E,8,0.119,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,11.2,E,8,6.9,E,8,75,E,8,1013,E,8,249,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.505,E,8,0.119,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,10.9,E,8,6.7,E,8,75,E,8,1013,E,8,265,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.483,E,8,0.119,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,10.5,E,8,6.4,E,8,75,E,8,1013,E,8,218,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.451,E,8,0.119,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,10.2,E,8,6.6,E,8,79,E,8,1013,E,8,207,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.477,E,8,0.119,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,9.9,E,8,6.3,E,8,78,E,8,1013,E,8,231,E,8,2.5,E,8,-9990,0,0,-9990,0,0,1.441,E,8,0.119,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,9.7,E,8,5.9,E,8,77,E,8,1013,E,8,237,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.405,E,8,0.119,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,1,69,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,5,E,8,4,E,8,9.6,E,8,6.3,E,8,80,E,8,1013,E,8,214,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.444,E,8,0.119,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,90,1412,34,3,10,159,3,20,23,3,10,3544,3,10,1828,3,20,3428,3,10,-9990,0,0,5,E,8,4,E,8,10.0,E,8,6.4,E,8,78,E,8,1013,E,8,253,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.451,E,8,0.119,E,8,0.20,E,8,0,-9990,0,0
