37243,BRISTOL/LULSGATE,,0,51.380,-2.710, 189
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.7,E,8,7.8,E,8,88,E,8,987,E,8,218,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.599,E,8,0.106,E,8,0.28,E,8,4,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.2,E,8,7.3,E,8,82,E,8,987,E,8,252,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.546,E,8,0.106,E,8,0.27,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.0,E,8,6.8,E,8,81,E,8,987,E,8,249,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.495,E,8,0.106,E,8,0.25,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.9,E,8,6.7,E,8,81,E,8,987,E,8,265,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.485,E,8,0.106,E,8,0.24,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.8,E,8,5.6,E,8,75,E,8,987,E,8,263,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.372,E,8,0.106,E,8,0.22,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.6,E,8,5.8,E,8,77,E,8,987,E,8,252,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.394,E,8,0.106,E,8,0.21,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.5,E,8,5.5,E,8,76,E,8,987,E,8,276,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.365,E,8,0.106,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.5,E,8,5.2,E,8,75,E,8,987,E,8,237,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.334,E,8,0.106,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,32,426,2,3,10,0,3,20,2,3,10,208,3,10,9,3,20,207,3,10,-9990,0,0,10,E,8,9,E,8,9.5,E,8,5.4,E,8,76,E,8,987,E,8,214,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.354,E,8,0.106,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,180,1412,21,3,10,0,3,20,21,3,10,2474,3,10,0,3,20,2474,3,10,-9990,0,0,10,E,8,9,E,8,9.7,E,8,5.5,E,8,75,E,8,987,E,8,298,E,8,4.6,E,8,-9990,0,0,-9990,0,0,1.364,E,8,0.106,E,8,0.20,E,8,0,-9990,0,0
