39690,Dublin Airport,,0,53.433,-6.233,  82
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.3,E,8,6.4,E,8,82,E,8,1005,E,8,218,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.455,E,8,0.090,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.2,E,8,5.6,E,8,79,E,8,1005,E,8,252,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.377,E,8,0.090,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.9,E,8,5.2,E,8,77,E,8,1005,E,8,249,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.333,E,8,0.090,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.9,E,8,5.0,E,8,77,E,8,1005,E,8,265,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.317,E,8,0.090,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.8,E,8,4.8,E,8,76,E,8,1005,E,8,263,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.294,E,8,0.090,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.7,E,8,5.0,E,8,78,E,8,1005,E,8,252,E,8,3.9,E,8,-9990,0,0,-9990,0,0,1.314,E,8,0.090,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.6,E,8,4.7,E,8,76,E,8,1005,E,8,276,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.288,E,8,0.090,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.6,E,8,4.4,E,8,75,E,8,1005,E,8,237,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.261,E,8,0.090,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,3,133,0,3,10,0,3,20,0,3,10,24,3,10,6,3,20,24,3,10,-9990,0,0,10,E,8,9,E,8,8.6,E,8,4.7,E,8,77,E,8,1005,E,8,214,E,8,3.9,E,8,-9990,0,0,-9990,0,0,1.292,E,8,0.090,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,108,1412,36,3,10,79,3,20,30,3,10,3808,3,10,0,3,20,3808,3,10,-9990,0,0,10,E,8,9,E,8,9.7,E,8,5.2,E,8,73,E,8,1005,E,8,298,E,8,5.4,E,8,-9990,0,0,-9990,0,0,1.333,E,8,0.090,E,8,0.20,E,8,0,-9990,0,0
