31400,GLASGOW AIRPORT,,0,55.860,-4.430,   8
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.6,E,8,8.5,E,8,93,E,8,1009,E,8,218,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.682,E,8,0.058,E,8,0.20,E,8,6,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.3,E,8,8.2,E,8,87,E,8,1009,E,8,252,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.647,E,8,0.058,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.9,E,8,7.7,E,8,86,E,8,1009,E,8,249,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.592,E,8,0.058,E,8,0.20,E,8,2,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.0,E,8,7.1,E,8,82,E,8,1009,E,8,265,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.525,E,8,0.058,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.0,E,8,7.1,E,8,82,E,8,1009,E,8,263,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.522,E,8,0.058,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.9,E,8,6.2,E,8,78,E,8,1009,E,8,252,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.429,E,8,0.058,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.8,E,8,6.8,E,8,82,E,8,1009,E,8,276,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.498,E,8,0.058,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.7,E,8,5.6,E,8,75,E,8,1009,E,8,237,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.370,E,8,0.058,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,10,E,8,9,E,8,9.7,E,8,5.9,E,8,77,E,8,1009,E,8,214,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.403,E,8,0.058,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,78,1412,9,3,10,0,3,20,9,3,10,1085,3,10,0,3,20,1085,3,10,-9990,0,0,10,E,8,9,E,8,9.9,E,8,6.0,E,8,76,E,8,1009,E,8,298,E,8,3.9,E,8,-9990,0,0,-9990,0,0,1.412,E,8,0.058,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,188,1412,23,3,10,0,3,20,23,3,10,2668,3,10,0,3,20,2668,3,10,-9990,0,0,10,E,8,9,E,8,10.2,E,8,7.3,E,8,82,E,8,1009,E,8,185,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.541,E,8,0.058,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,254,1412,33,3,10,0,3,20,33,3,10,3828,3,10,0,3,20,3828,3,10,-9990,0,0,10,E,8,9,E,8,10.5,E,8,7.6,E,8,82,E,8,1009,E,8,271,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.577,E,8,0.058,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,271,1412,36,3,10,0,3,20,36,3,10,4217,3,10,0,3,20,4217,3,10,-9990,0,0,10,E,8,9,E,8,10.7,E,8,5.2,E,8,68,E,8,1009,E,8,235,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.332,E,8,0.058,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,238,1412,32,3,10,0,3,20,32,3,10,3748,3,10,0,3,20,3748,3,10,-9990,0,0,10,E,8,9,E,8,10.8,E,8,4.9,E,8,67,E,8,1009,E,8,148,E,8,4.1,E,8,-9990,0,0,-9990,0,0,1.310,E,8,0.058,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,158,1412,19,3,10,0,3,20,19,3,10,2260,3,10,0,3,20,2260,3,10,-9990,0,0,10,E,8,9,E,8,10.8,E,8,5.0,E,8,68,E,8,1009,E,8,190,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.321,E,8,0.058,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,37,516,2,3,10,0,3,20,2,3,10,235,3,10,10,3,20,234,3,10,-9990,0,0,10,E,8,9,E,8,10.3,E,8,7.4,E,8,82,E,8,1009,E,8,266,E,8,4.9,E,8,-9990,0,0,-9990,0,0,1.557,E,8,0.058,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,17:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.8,E,8,7.6,E,8,86,E,8,1009,E,8,126,E,8,3.9,E,8,-9990,0,0,-9990,0,0,1.574,E,8,0.058,E,8,0.20,E,8,3,-9990,0,0
