30590,INVERNESS/DALCROSS,,0,57.530,-4.050,   9
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.2,E,8,6.6,E,8,84,E,8,1008,E,8,173,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.477,E,8,0.057,E,8,0.20,E,8,4,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.7,E,8,6.4,E,8,80,E,8,1008,E,8,207,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.452,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.4,E,8,6.1,E,8,80,E,8,1008,E,8,249,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.426,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.2,E,8,5.9,E,8,80,E,8,1008,E,8,265,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.405,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.1,E,8,4.2,E,8,71,E,8,1008,E,8,263,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.243,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.0,E,8,4.4,E,8,73,E,8,1008,E,8,252,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.264,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.8,E,8,4.1,E,8,72,E,8,1008,E,8,231,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.236,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.8,E,8,3.8,E,8,71,E,8,1008,E,8,237,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.208,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.7,E,8,4.1,E,8,73,E,8,1008,E,8,169,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.239,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,46,612,3,3,10,0,3,20,3,3,10,345,3,10,11,3,20,345,3,10,-9990,0,0,10,E,8,9,E,8,8.7,E,8,4.2,E,8,73,E,8,1008,E,8,253,E,8,4.3,E,8,-9990,0,0,-9990,0,0,1.242,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
