33463,LEEDS AND BRADFORD,,0,53.860,-1.650, 208
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.8,E,8,6.8,E,8,87,E,8,986,E,8,263,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.490,E,8,0.071,E,8,0.20,E,8,4,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.4,E,8,5.5,E,8,77,E,8,986,E,8,297,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.359,E,8,0.071,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.1,E,8,5.8,E,8,80,E,8,986,E,8,294,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.396,E,8,0.071,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.0,E,8,4.8,E,8,75,E,8,986,E,8,310,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.296,E,8,0.071,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.9,E,8,4.5,E,8,74,E,8,986,E,8,308,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.271,E,8,0.071,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.7,E,8,4.7,E,8,76,E,8,986,E,8,297,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.293,E,8,0.071,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.6,E,8,4.4,E,8,75,E,8,986,E,8,321,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.265,E,8,0.071,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.6,E,8,4.1,E,8,73,E,8,986,E,8,282,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.236,E,8,0.071,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,16,311,1,3,10,0,3,20,1,3,10,132,3,10,10,3,20,132,3,10,-9990,0,0,10,E,8,9,E,8,8.6,E,8,4.5,E,8,75,E,8,986,E,8,259,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.269,E,8,0.071,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,141,1412,21,3,10,0,3,20,21,3,10,2445,3,10,0,3,20,2445,3,10,-9990,0,0,10,E,8,9,E,8,8.9,E,8,4.7,E,8,75,E,8,986,E,8,343,E,8,4.7,E,8,-9990,0,0,-9990,0,0,1.291,E,8,0.071,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,248,1412,37,3,10,0,3,20,37,3,10,4277,3,10,0,3,20,4277,3,10,-9990,0,0,10,E,8,9,E,8,9.1,E,8,3.8,E,8,69,E,8,986,E,8,230,E,8,4.3,E,8,-9990,0,0,-9990,0,0,1.213,E,8,0.071,E,8,0.20,E,8,0,-9990,0,0
