34920,NORWICH WEA CNTRE,,0,52.630,1.310,  18
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.7,E,8,7.7,E,8,82,E,8,1010,E,8,218,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.593,E,8,0.057,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.6,E,8,7.0,E,8,78,E,8,1010,E,8,252,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.516,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.4,E,8,6.5,E,8,77,E,8,1010,E,8,249,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.466,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.3,E,8,6.4,E,8,77,E,8,1010,E,8,265,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.448,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.2,E,8,6.1,E,8,76,E,8,1010,E,8,263,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.422,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.0,E,8,6.3,E,8,78,E,8,1010,E,8,252,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.444,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.0,E,8,6.0,E,8,76,E,8,1010,E,8,276,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.415,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.9,E,8,5.7,E,8,75,E,8,1010,E,8,237,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.384,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,47,538,4,3,10,0,3,20,4,3,10,529,3,10,10,3,20,528,3,10,-9990,0,0,10,E,8,9,E,8,10.0,E,8,6.0,E,8,76,E,8,1010,E,8,214,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.412,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,191,1412,43,3,10,0,3,20,43,3,10,4854,3,10,0,3,20,4854,3,10,-9990,0,0,10,E,8,9,E,8,10.7,E,8,6.3,E,8,74,E,8,1010,E,8,298,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.440,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,292,1412,70,3,10,0,3,20,70,3,10,7844,3,10,0,3,20,7844,3,10,-9990,0,0,10,E,8,9,E,8,11.3,E,8,5.5,E,8,67,E,8,1010,E,8,185,E,8,4.0,E,8,-9990,0,0,-9990,0,0,1.359,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,343,1412,88,3,10,2,3,20,87,3,10,9792,3,10,62,3,20,9777,3,10,-9990,0,0,10,E,8,9,E,8,11.7,E,8,5.6,E,8,66,E,8,1010,E,8,226,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.374,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,341,1412,98,3,10,13,3,20,95,3,10,10828,3,10,1254,3,20,10525,3,10,-9990,0,0,10,E,8,9,E,8,12.0,E,8,5.8,E,8,66,E,8,1010,E,8,235,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.392,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,286,1412,75,3,10,5,3,20,74,3,10,8323,3,10,364,3,20,8250,3,10,-9990,0,0,10,E,8,9,E,8,12.1,E,8,5.6,E,8,64,E,8,1010,E,8,148,E,8,4.6,E,8,-9990,0,0,-9990,0,0,1.377,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,181,1412,40,3,10,0,3,20,40,3,10,4502,3,10,0,3,20,4502,3,10,-9990,0,0,10,E,8,9,E,8,11.9,E,8,5.8,E,8,66,E,8,1010,E,8,190,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.397,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,38,483,2,3,10,0,3,20,2,3,10,269,3,10,9,3,20,269,3,10,-9990,0,0,10,E,8,9,E,8,11.5,E,8,6.3,E,8,70,E,8,1010,E,8,221,E,8,5.3,E,8,-9990,0,0,-9990,0,0,1.444,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.2,E,8,6.6,E,8,73,E,8,1009,E,8,126,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.473,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.9,E,8,6.7,E,8,75,E,8,1009,E,8,200,E,8,4.8,E,8,-9990,0,0,-9990,0,0,1.478,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.6,E,8,7.6,E,8,82,E,8,1009,E,8,187,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.583,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.4,E,8,8.1,E,8,86,E,8,1009,E,8,236,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.635,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.1,E,8,7.8,E,8,86,E,8,1009,E,8,249,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.604,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.8,E,8,7.6,E,8,86,E,8,1009,E,8,210,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.574,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.6,E,8,7.3,E,8,86,E,8,1009,E,8,265,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.545,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.3,E,8,7.0,E,8,86,E,8,1009,E,8,216,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.516,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.0,E,8,6.7,E,8,86,E,8,1009,E,8,247,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.485,E,8,0.053,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.5,E,8,5.6,E,8,82,E,8,1009,E,8,220,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.373,E,8,0.053,E,8,0.20,E,8,1,-9990,0,0
01/02/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.3,E,8,6.1,E,8,86,E,8,1009,E,8,235,E,8,5.3,E,8,-9990,0,0,-9990,0,0,1.420,E,8,0.053,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.2,E,8,5.9,E,8,86,E,8,1009,E,8,155,E,8,4.8,E,8,-9990,0,0,-9990,0,0,1.402,E,8,0.053,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.0,E,8,5.8,E,8,86,E,8,1009,E,8,187,E,8,5.7,E,8,-9990,0,0,-9990,0,0,1.390,E,8,0.053,E,8,0.20,E,8,0,-9990,0,0
