33130,RHYL (AUT),,0,53.250,-3.500,  77
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.7,E,8,8.7,E,8,87,E,8,999,E,8,218,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.708,E,8,0.121,E,8,0.20,E,8,6,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.6,E,8,7.9,E,8,78,E,8,999,E,8,252,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.615,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.3,E,8,7.7,E,8,78,E,8,999,E,8,249,E,8,1.9,E,8,-9990,0,0,-9990,0,0,1.586,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.2,E,8,7.6,E,8,78,E,8,999,E,8,265,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.576,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.1,E,8,7.5,E,8,78,E,8,999,E,8,263,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.564,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.0,E,8,5.7,E,8,70,E,8,999,E,8,252,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.382,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.8,E,8,7.2,E,8,78,E,8,999,E,8,276,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.538,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.8,E,8,5.0,E,8,67,E,8,999,E,8,237,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.318,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,12,268,1,3,10,0,3,20,1,3,10,84,3,10,8,3,20,83,3,10,-9990,0,0,10,E,8,9,E,8,10.8,E,8,5.4,E,8,69,E,8,999,E,8,214,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.355,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,137,1412,9,3,10,0,3,20,9,3,10,1137,3,10,3,3,20,1137,3,10,-9990,0,0,10,E,8,9,E,8,10.8,E,8,7.2,E,8,78,E,8,999,E,8,298,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.534,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
