39030,SAINT ANGELO (AUT),,0,54.400,-7.650,  47
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.6,E,8,7.6,E,8,88,E,8,1005,E,8,218,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.584,E,8,0.059,E,8,0.20,E,8,5,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.3,E,8,7.3,E,8,81,E,8,1005,E,8,252,E,8,1.9,E,8,-9990,0,0,-9990,0,0,1.541,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.0,E,8,7.0,E,8,81,E,8,1005,E,8,249,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.515,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.9,E,8,5.8,E,8,75,E,8,1005,E,8,265,E,8,1.9,E,8,-9990,0,0,-9990,0,0,1.395,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.8,E,8,5.6,E,8,75,E,8,1005,E,8,263,E,8,1.9,E,8,-9990,0,0,-9990,0,0,1.369,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.7,E,8,5.8,E,8,76,E,8,1005,E,8,252,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.391,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.6,E,8,5.5,E,8,75,E,8,1005,E,8,276,E,8,1.8,E,8,-9990,0,0,-9990,0,0,1.362,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.5,E,8,5.2,E,8,74,E,8,1005,E,8,237,E,8,2.5,E,8,-9990,0,0,-9990,0,0,1.332,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,10,E,8,9,E,8,9.5,E,8,5.5,E,8,76,E,8,1005,E,8,214,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.365,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,77,1412,8,3,10,0,3,20,8,3,10,982,3,10,0,3,20,982,3,10,-9990,0,0,10,E,8,9,E,8,9.7,E,8,5.7,E,8,76,E,8,1005,E,8,298,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.387,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,199,1412,22,3,10,0,3,20,22,3,10,2590,3,10,0,3,20,2590,3,10,-9990,0,0,10,E,8,9,E,8,10.1,E,8,4.9,E,8,70,E,8,1005,E,8,185,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.311,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,278,1412,32,3,10,0,3,20,32,3,10,3821,3,10,0,3,20,3821,3,10,-9990,0,0,10,E,8,9,E,8,10.4,E,8,7.3,E,8,81,E,8,1005,E,8,271,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.548,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,307,1412,38,3,10,0,3,20,38,3,10,4489,3,10,0,3,20,4489,3,10,-9990,0,0,10,E,8,9,E,8,10.6,E,8,5.4,E,8,70,E,8,1005,E,8,235,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.350,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,284,1412,39,3,10,0,3,20,39,3,10,4512,3,10,0,3,20,4512,3,10,-9990,0,0,10,E,8,9,E,8,10.8,E,8,5.3,E,8,69,E,8,1005,E,8,148,E,8,3.9,E,8,-9990,0,0,-9990,0,0,1.343,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,211,1412,26,3,10,0,3,20,26,3,10,3000,3,10,0,3,20,3000,3,10,-9990,0,0,10,E,8,9,E,8,10.8,E,8,5.6,E,8,70,E,8,1005,E,8,190,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.370,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,93,1412,10,3,10,0,3,20,10,3,10,1194,3,10,0,3,20,1194,3,10,-9990,0,0,10,E,8,9,E,8,10.6,E,8,6.1,E,8,74,E,8,1005,E,8,266,E,8,4.6,E,8,-9990,0,0,-9990,0,0,1.426,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,1,84,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,10,E,8,9,E,8,10.3,E,8,7.3,E,8,81,E,8,1004,E,8,126,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.541,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.9,E,8,7.3,E,8,83,E,8,1004,E,8,245,E,8,3.9,E,8,-9990,0,0,-9990,0,0,1.544,E,8,0.059,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.5,E,8,7.6,E,8,88,E,8,1004,E,8,187,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.584,E,8,0.059,E,8,0.20,E,8,2,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.6,E,8,7.1,E,8,85,E,8,1004,E,8,236,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.528,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.2,E,8,7.6,E,8,90,E,8,1004,E,8,249,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.579,E,8,0.059,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.1,E,8,6.6,E,8,84,E,8,1004,E,8,210,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.468,E,8,0.059,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.9,E,8,5.9,E,8,81,E,8,1004,E,8,265,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.402,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
