39530,Valentia,,0,51.933,-10.250,  14
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.9,E,8,7.8,E,8,81,E,8,1010,E,8,218,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.603,E,8,0.107,E,8,0.20,E,8,3,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.2,E,8,6.0,E,8,70,E,8,1010,E,8,252,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.411,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.0,E,8,5.5,E,8,69,E,8,1010,E,8,249,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.359,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.9,E,8,5.3,E,8,68,E,8,1010,E,8,265,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.340,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.7,E,8,5.0,E,8,67,E,8,1010,E,8,263,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.313,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.6,E,8,5.3,E,8,69,E,8,1010,E,8,252,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.341,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.5,E,8,4.9,E,8,68,E,8,1010,E,8,276,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.309,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.5,E,8,4.5,E,8,67,E,8,1010,E,8,237,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.276,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,10,E,8,9,E,8,10.5,E,8,5.0,E,8,69,E,8,1010,E,8,214,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.314,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,96,1412,20,3,10,0,3,20,20,3,10,2270,3,10,0,3,20,2270,3,10,-9990,0,0,10,E,8,9,E,8,10.8,E,8,5.3,E,8,68,E,8,1010,E,8,298,E,8,4.7,E,8,-9990,0,0,-9990,0,0,1.343,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,233,1412,52,3,10,0,3,20,52,3,10,5849,3,10,0,3,20,5849,3,10,-9990,0,0,10,E,8,9,E,8,11.4,E,8,4.3,E,8,62,E,8,1010,E,8,185,E,8,4.3,E,8,-9990,0,0,-9990,0,0,1.255,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,324,1412,78,3,10,0,3,20,78,3,10,8727,3,10,0,3,20,8727,3,10,-9990,0,0,10,E,8,9,E,8,11.9,E,8,4.6,E,8,61,E,8,1010,E,8,226,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.277,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,364,1412,91,3,10,0,3,20,91,3,10,10214,3,10,0,3,20,10214,3,10,-9990,0,0,10,E,8,9,E,8,12.3,E,8,4.9,E,8,60,E,8,1010,E,8,190,E,8,4.5,E,8,-9990,0,0,-9990,0,0,1.305,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,350,1412,92,3,10,4,3,20,91,3,10,10215,3,10,253,3,20,10152,3,10,-9990,0,0,10,E,8,9,E,8,12.6,E,8,4.8,E,8,59,E,8,1010,E,8,148,E,8,4.9,E,8,-9990,0,0,-9990,0,0,1.300,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,281,1412,68,3,10,0,3,20,68,3,10,7592,3,10,0,3,20,7592,3,10,-9990,0,0,10,E,8,9,E,8,12.7,E,8,5.2,E,8,60,E,8,1010,E,8,190,E,8,4.5,E,8,-9990,0,0,-9990,0,0,1.338,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,165,1412,34,3,10,0,3,20,34,3,10,3850,3,10,0,3,20,3850,3,10,-9990,0,0,10,E,8,9,E,8,12.5,E,8,6.0,E,8,65,E,8,1010,E,8,221,E,8,5.5,E,8,-9990,0,0,-9990,0,0,1.414,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,23,365,1,3,10,0,3,20,1,3,10,156,3,10,9,3,20,155,3,10,-9990,0,0,10,E,8,9,E,8,12.1,E,8,6.5,E,8,69,E,8,1010,E,8,126,E,8,4.7,E,8,-9990,0,0,-9990,0,0,1.466,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.8,E,8,7.9,E,8,77,E,8,1010,E,8,200,E,8,5.1,E,8,-9990,0,0,-9990,0,0,1.610,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.5,E,8,8.5,E,8,82,E,8,1010,E,8,187,E,8,4.5,E,8,-9990,0,0,-9990,0,0,1.677,E,8,0.107,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.5,E,8,8.6,E,8,83,E,8,1010,E,8,236,E,8,4.5,E,8,-9990,0,0,-9990,0,0,1.700,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.2,E,8,7.8,E,8,79,E,8,1010,E,8,249,E,8,4.7,E,8,-9990,0,0,-9990,0,0,1.596,E,8,0.107,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.1,E,8,7.3,E,8,78,E,8,1010,E,8,165,E,8,3.9,E,8,-9990,0,0,-9990,0,0,1.549,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.9,E,8,7.8,E,8,81,E,8,1010,E,8,265,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.606,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.7,E,8,7.6,E,8,81,E,8,1010,E,8,216,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.584,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.4,E,8,6.6,E,8,77,E,8,1010,E,8,247,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.473,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.9,E,8,7.0,E,8,83,E,8,1010,E,8,220,E,8,4.5,E,8,-9990,0,0,-9990,0,0,1.519,E,8,0.099,E,8,0.20,E,8,2,-9990,0,0
01/02/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.0,E,8,6.5,E,8,79,E,8,1010,E,8,190,E,8,5.5,E,8,-9990,0,0,-9990,0,0,1.467,E,8,0.099,E,8,0.20,E,8,1,-9990,0,0
01/02/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.0,E,8,7.5,E,8,84,E,8,1010,E,8,110,E,8,5.1,E,8,-9990,0,0,-9990,0,0,1.569,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.9,E,8,7.1,E,8,82,E,8,1009,E,8,187,E,8,6.0,E,8,-9990,0,0,-9990,0,0,1.522,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.8,E,8,8.0,E,8,89,E,8,1009,E,8,125,E,8,5.3,E,8,-9990,0,0,-9990,0,0,1.629,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.8,E,8,8.1,E,8,89,E,8,1009,E,8,187,E,8,5.8,E,8,-9990,0,0,-9990,0,0,1.630,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.7,E,8,7.6,E,8,87,E,8,1009,E,8,164,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.576,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,09:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,10,E,8,9,E,8,9.7,E,8,6.9,E,8,83,E,8,1009,E,8,219,E,8,4.5,E,8,-9990,0,0,-9990,0,0,1.507,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,10:00,96,1412,15,3,10,0,3,20,15,3,10,1763,3,10,0,3,20,1763,3,10,-9990,0,0,10,E,8,9,E,8,10.0,E,8,8.2,E,8,88,E,8,1009,E,8,226,E,8,4.3,E,8,-9990,0,0,-9990,0,0,1.643,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,11:00,234,1412,41,3,10,0,3,20,41,3,10,4679,3,10,0,3,20,4679,3,10,-9990,0,0,10,E,8,9,E,8,10.5,E,8,7.6,E,8,82,E,8,1009,E,8,192,E,8,4.7,E,8,-9990,0,0,-9990,0,0,1.577,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
