75100,Bordeaux,,1,44.833,-0.700,  46
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,12.4,E,8,8.6,E,8,77,E,8,1007,E,8,218,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.694,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,12.1,E,8,8.6,E,8,79,E,8,1007,E,8,252,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.690,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,11.8,E,8,8.1,E,8,78,E,8,1007,E,8,249,E,8,1.4,E,8,-9990,0,0,-9990,0,0,1.634,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,11.7,E,8,7.9,E,8,78,E,8,1007,E,8,265,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.613,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,11.5,E,8,7.6,E,8,77,E,8,1007,E,8,263,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.585,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,11.4,E,8,7.8,E,8,79,E,8,1007,E,8,252,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.606,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,11.3,E,8,7.6,E,8,78,E,8,1007,E,8,276,E,8,1.6,E,8,-9990,0,0,-9990,0,0,1.574,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,11.2,E,8,7.3,E,8,77,E,8,1007,E,8,237,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.542,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,6,159,0,3,10,0,3,20,0,3,10,45,3,10,6,3,20,44,3,10,-9990,0,0,9,E,8,8,E,8,11.2,E,8,7.6,E,8,78,E,8,1007,E,8,214,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.578,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,152,1412,46,3,10,44,3,20,41,3,10,5044,3,10,480,3,20,4992,3,10,-9990,0,0,9,E,8,8,E,8,12.1,E,8,7.9,E,8,75,E,8,1007,E,8,298,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.613,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
