70280,LE HAVRE/OCTEVILLE,,1,49.510,0.060,   6
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.8,E,8,9.7,E,8,87,E,8,1009,E,8,218,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.833,E,8,0.088,E,8,0.20,E,8,7,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,12.8,E,8,9.0,E,8,78,E,8,1009,E,8,252,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.747,E,8,0.088,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,12.5,E,8,8.7,E,8,78,E,8,1009,E,8,294,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.711,E,8,0.088,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,12.4,E,8,8.7,E,8,78,E,8,1009,E,8,310,E,8,2.5,E,8,-9990,0,0,-9990,0,0,1.707,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,12.3,E,8,8.6,E,8,78,E,8,1009,E,8,263,E,8,2.5,E,8,-9990,0,0,-9990,0,0,1.694,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,12.2,E,8,5.9,E,8,65,E,8,1009,E,8,297,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.398,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,12.1,E,8,8.4,E,8,78,E,8,1009,E,8,276,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.666,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,12.0,E,8,5.2,E,8,63,E,8,1009,E,8,282,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.332,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,2,3,0,0,3,0,2,3,0,300,3,0,0,3,0,300,3,0,-9990,0,0,10,E,8,9,E,8,12.0,E,8,5.6,E,8,65,E,8,1009,E,8,214,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.371,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,125,1048,17,3,10,0,3,20,17,3,10,2016,3,10,0,3,20,2016,3,10,-9990,0,0,10,E,8,9,E,8,12.2,E,8,8.4,E,8,78,E,8,1009,E,8,298,E,8,4.6,E,8,-9990,0,0,-9990,0,0,1.675,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
