76500,Marseille,,1,43.433,5.217,   6
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,9.3,E,8,5.9,E,8,79,E,8,1015,E,8,173,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.397,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,9.1,E,8,5.9,E,8,80,E,8,1015,E,8,207,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.400,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,9.0,E,8,5.4,E,8,78,E,8,1015,E,8,249,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.356,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,9.0,E,8,5.3,E,8,77,E,8,1015,E,8,310,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.342,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,9.0,E,8,5.0,E,8,76,E,8,1015,E,8,263,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.320,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,9.0,E,8,5.3,E,8,77,E,8,1015,E,8,252,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.342,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,9.0,E,8,5.2,E,8,77,E,8,1015,E,8,276,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.332,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,9.0,E,8,4.7,E,8,74,E,8,1015,E,8,237,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.291,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,54,495,10,3,10,0,3,20,10,3,10,1277,3,10,2,3,20,1276,3,10,-9990,0,0,6,E,8,5,E,8,9.5,E,8,5.0,E,8,73,E,8,1015,E,8,169,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.318,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,251,1412,144,3,10,336,3,20,84,3,10,14622,3,10,18071,3,20,11412,3,10,-9990,0,0,6,E,8,5,E,8,12.0,E,8,5.6,E,8,65,E,8,1015,E,8,253,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.370,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,411,1412,273,3,10,782,3,20,45,3,10,29420,3,10,76586,3,20,7136,3,10,-9990,0,0,0,E,8,0,E,8,14.4,E,8,4.9,E,8,53,E,8,1015,E,8,95,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.307,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,517,1412,356,3,10,813,3,20,58,3,10,38158,3,10,79562,3,20,9029,3,10,-9990,0,0,0,E,8,0,E,8,16.4,E,8,5.2,E,8,47,E,8,1015,E,8,181,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.331,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,562,1412,380,3,10,801,3,20,61,3,10,40950,3,10,79242,3,20,9414,3,10,-9990,0,0,0,E,8,0,E,8,17.8,E,8,5.4,E,8,44,E,8,1015,E,8,145,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.352,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,543,1412,358,3,10,779,3,20,59,3,10,38618,3,10,76770,3,20,9110,3,10,-9990,0,0,0,E,8,0,E,8,17.5,E,8,5.1,E,8,44,E,8,1015,E,8,103,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.324,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,460,1412,291,3,10,712,3,20,58,3,10,30721,3,10,66231,3,20,9116,3,10,-9990,0,0,0,E,8,0,E,8,17.5,E,8,5.3,E,8,44,E,8,1016,E,8,100,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.340,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,321,1412,182,3,10,556,3,20,55,3,10,19110,3,10,46311,3,20,8575,3,10,-9990,0,0,6,E,8,5,E,8,17.5,E,8,5.8,E,8,46,E,8,1016,E,8,176,E,8,5.2,E,8,-9990,0,0,-9990,0,0,1.392,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,134,1412,64,3,10,318,3,20,34,3,10,6535,3,10,14984,3,20,5113,3,10,-9990,0,0,6,E,8,5,E,8,17.3,E,8,6.1,E,8,47,E,8,1016,E,8,36,E,8,4.0,E,8,-9990,0,0,-9990,0,0,1.419,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,1,79,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,6,E,8,5,E,8,16.1,E,8,6.0,E,8,51,E,8,1016,E,8,155,E,8,4.5,E,8,-9990,0,0,-9990,0,0,1.408,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,15.3,E,8,5.5,E,8,52,E,8,1016,E,8,97,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.367,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,14.6,E,8,5.4,E,8,54,E,8,1016,E,8,146,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.357,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,13.8,E,8,5.1,E,8,56,E,8,1016,E,8,159,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.330,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,13.1,E,8,4.4,E,8,56,E,8,1016,E,8,120,E,8,2.5,E,8,-9990,0,0,-9990,0,0,1.266,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,12.4,E,8,3.0,E,8,53,E,8,1016,E,8,220,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.146,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
