71490,PARIS/ORLY,,1,48.730,2.400,   6
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,11.9,E,8,4.0,E,8,58,E,8,1013,E,8,218,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.231,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,11.7,E,8,4.1,E,8,59,E,8,1013,E,8,252,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.237,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,11.5,E,8,3.6,E,8,58,E,8,1013,E,8,294,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.190,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,11.3,E,8,3.4,E,8,58,E,8,1013,E,8,310,E,8,2.5,E,8,-9990,0,0,-9990,0,0,1.173,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,11.2,E,8,3.0,E,8,57,E,8,1013,E,8,308,E,8,2.5,E,8,-9990,0,0,-9990,0,0,1.148,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,11.0,E,8,3.4,E,8,59,E,8,1013,E,8,297,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.174,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,10.9,E,8,3.0,E,8,58,E,8,1013,E,8,321,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.145,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,10.9,E,8,2.6,E,8,57,E,8,1013,E,8,282,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.115,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,8,E,8,6,E,8,10.8,E,8,3.1,E,8,59,E,8,1013,E,8,259,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.151,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,81,909,16,3,10,0,3,20,16,3,10,1881,3,10,0,3,20,1881,3,10,-9990,0,0,8,E,8,6,E,8,11.2,E,8,3.2,E,8,58,E,8,1013,E,8,343,E,8,4.6,E,8,-9990,0,0,-9990,0,0,1.157,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
