72650,Auxerre,,1,47.800,3.550, 212
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.1,E,8,8.2,E,8,88,E,8,986,E,8,218,E,8,1.8,E,8,-9990,0,0,-9990,0,0,1.649,E,8,0.095,E,8,0.20,E,8,2,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.4,E,8,7.0,E,8,80,E,8,986,E,8,252,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.518,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.2,E,8,6.6,E,8,78,E,8,986,E,8,249,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.469,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.0,E,8,6.4,E,8,78,E,8,986,E,8,265,E,8,1.4,E,8,-9990,0,0,-9990,0,0,1.451,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.9,E,8,6.1,E,8,77,E,8,986,E,8,263,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.426,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.8,E,8,6.3,E,8,79,E,8,986,E,8,252,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.446,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.7,E,8,6.1,E,8,78,E,8,986,E,8,276,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.418,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.7,E,8,5.8,E,8,77,E,8,986,E,8,237,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.389,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,10,217,1,3,10,0,3,20,1,3,10,75,3,10,8,3,20,75,3,10,-9990,0,0,10,E,8,9,E,8,9.7,E,8,6.1,E,8,78,E,8,986,E,8,214,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.422,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,155,1412,28,3,10,0,3,20,28,3,10,3153,3,10,0,3,20,3153,3,10,-9990,0,0,10,E,8,9,E,8,10.2,E,8,6.3,E,8,77,E,8,986,E,8,298,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.444,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,308,1412,63,3,10,0,3,20,63,3,10,7151,3,10,0,3,20,7151,3,10,-9990,0,0,10,E,8,9,E,8,10.8,E,8,5.6,E,8,70,E,8,986,E,8,185,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.369,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,412,1412,99,3,10,0,3,20,99,3,10,11164,3,10,0,3,20,11164,3,10,-9990,0,0,10,E,8,9,E,8,11.4,E,8,5.7,E,8,68,E,8,986,E,8,271,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.386,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,460,1412,100,3,10,0,3,20,100,3,10,11411,3,10,0,3,20,11411,3,10,-9990,0,0,10,E,8,9,E,8,11.8,E,8,5.9,E,8,67,E,8,986,E,8,235,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.403,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,449,1412,78,3,10,0,3,20,78,3,10,9080,3,10,0,3,20,9080,3,10,-9990,0,0,10,E,8,9,E,8,12.0,E,8,5.7,E,8,66,E,8,986,E,8,193,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.387,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,379,1412,59,3,10,0,3,20,59,3,10,6862,3,10,0,3,20,6862,3,10,-9990,0,0,10,E,8,9,E,8,11.9,E,8,5.9,E,8,67,E,8,986,E,8,190,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.405,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,256,1412,35,3,10,0,3,20,35,3,10,4120,3,10,0,3,20,4120,3,10,-9990,0,0,10,E,8,9,E,8,11.7,E,8,6.4,E,8,70,E,8,986,E,8,266,E,8,4.1,E,8,-9990,0,0,-9990,0,0,1.450,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,83,665,4,3,10,0,3,20,4,3,10,526,3,10,9,3,20,525,3,10,-9990,0,0,10,E,8,9,E,8,11.4,E,8,6.6,E,8,72,E,8,986,E,8,126,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.471,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.0,E,8,8.2,E,8,83,E,8,986,E,8,245,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.645,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.5,E,8,7.7,E,8,83,E,8,986,E,8,187,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.595,E,8,0.095,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.3,E,8,7.6,E,8,83,E,8,985,E,8,236,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.576,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.9,E,8,7.2,E,8,83,E,8,985,E,8,249,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.532,E,8,0.095,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.6,E,8,6.9,E,8,83,E,8,985,E,8,210,E,8,1.8,E,8,-9990,0,0,-9990,0,0,1.505,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.4,E,8,7.3,E,8,87,E,8,985,E,8,265,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.542,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.0,E,8,6.9,E,8,87,E,8,985,E,8,216,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.508,E,8,0.095,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.5,E,8,5.8,E,8,83,E,8,985,E,8,247,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.392,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
