70400,DIEPPE,,1,49.930,1.100,  34
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.1,E,8,7.6,E,8,79,E,8,1008,E,8,263,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.574,E,8,0.108,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.9,E,8,6.2,E,8,73,E,8,1008,E,8,252,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.434,E,8,0.108,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.7,E,8,5.7,E,8,71,E,8,1008,E,8,294,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.383,E,8,0.108,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.5,E,8,5.5,E,8,71,E,8,1008,E,8,310,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.364,E,8,0.108,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.4,E,8,5.2,E,8,70,E,8,1008,E,8,308,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.337,E,8,0.108,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.2,E,8,5.5,E,8,72,E,8,1008,E,8,297,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.362,E,8,0.108,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.1,E,8,5.2,E,8,71,E,8,1008,E,8,276,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.332,E,8,0.108,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.1,E,8,4.8,E,8,70,E,8,1008,E,8,282,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.300,E,8,0.108,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.0,E,8,5.2,E,8,72,E,8,1008,E,8,259,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.335,E,8,0.108,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,86,704,10,3,10,0,3,20,10,3,10,1223,3,10,4,3,20,1222,3,10,-9990,0,0,10,E,8,9,E,8,10.3,E,8,5.4,E,8,71,E,8,1008,E,8,298,E,8,4.9,E,8,-9990,0,0,-9990,0,0,1.355,E,8,0.108,E,8,0.20,E,8,0,-9990,0,0
