73150,La Rochelle,,1,46.150,-1.150,   6
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,9.8,E,8,6.2,E,8,78,E,8,1016,E,8,173,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.428,E,8,0.102,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,9.6,E,8,6.2,E,8,79,E,8,1016,E,8,207,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.429,E,8,0.102,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,9.5,E,8,5.7,E,8,77,E,8,1016,E,8,249,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.384,E,8,0.102,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,9.4,E,8,5.6,E,8,77,E,8,1016,E,8,310,E,8,2.5,E,8,-9990,0,0,-9990,0,0,1.368,E,8,0.102,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,9.4,E,8,5.3,E,8,76,E,8,1016,E,8,263,E,8,2.5,E,8,-9990,0,0,-9990,0,0,1.346,E,8,0.102,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,9.4,E,8,5.5,E,8,77,E,8,1016,E,8,252,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.368,E,8,0.102,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,9.4,E,8,5.5,E,8,77,E,8,1016,E,8,276,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.363,E,8,0.102,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,9.4,E,8,5.0,E,8,74,E,8,1016,E,8,237,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.315,E,8,0.102,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,54,3010,9,3,10,0,3,20,9,3,10,1139,3,10,26,3,20,1139,3,10,-9990,0,0,6,E,8,5,E,8,9.8,E,8,5.2,E,8,73,E,8,1016,E,8,169,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.335,E,8,0.102,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,251,2826,124,3,10,270,3,20,76,3,10,12717,3,10,25460,3,20,10458,3,10,-9990,0,0,6,E,8,5,E,8,12.2,E,8,5.7,E,8,64,E,8,1016,E,8,253,E,8,4.6,E,8,-9990,0,0,-9990,0,0,1.378,E,8,0.102,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,411,1954,237,3,10,584,3,20,67,3,10,25059,3,10,70279,3,20,10285,3,10,-9990,0,0,0,E,8,0,E,8,14.5,E,8,4.9,E,8,52,E,8,1016,E,8,95,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.306,E,8,0.102,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,517,1734,303,3,10,576,3,20,93,3,10,32011,3,10,61342,3,20,13724,3,10,-9990,0,0,1,E,8,1,E,8,16.4,E,8,5.1,E,8,47,E,8,1016,E,8,181,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.322,E,8,0.102,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,562,1621,316,3,10,485,3,20,123,3,10,33960,3,10,46770,3,20,17755,3,10,-9990,0,0,4,E,8,3,E,8,17.6,E,8,5.2,E,8,44,E,8,1016,E,8,145,E,8,4.1,E,8,-9990,0,0,-9990,0,0,1.334,E,8,0.102,E,8,0.20,E,8,0,-9990,0,0
