71800,Nancy,,1,48.683,6.217, 212
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.8,E,8,5.2,E,8,73,E,8,990,E,8,218,E,8,1.8,E,8,-9990,0,0,-9990,0,0,1.340,E,8,0.048,E,8,0.27,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.5,E,8,5.2,E,8,75,E,8,990,E,8,207,E,8,1.4,E,8,-9990,0,0,-9990,0,0,1.339,E,8,0.048,E,8,0.26,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.2,E,8,4.7,E,8,74,E,8,990,E,8,204,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.292,E,8,0.048,E,8,0.25,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.1,E,8,4.5,E,8,73,E,8,990,E,8,220,E,8,1.4,E,8,-9990,0,0,-9990,0,0,1.276,E,8,0.048,E,8,0.24,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,8.9,E,8,4.3,E,8,73,E,8,990,E,8,218,E,8,1.4,E,8,-9990,0,0,-9990,0,0,1.252,E,8,0.048,E,8,0.23,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,8.8,E,8,4.5,E,8,74,E,8,990,E,8,207,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.272,E,8,0.048,E,8,0.22,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,8.7,E,8,4.2,E,8,73,E,8,990,E,8,231,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.246,E,8,0.048,E,8,0.21,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,8.6,E,8,3.9,E,8,72,E,8,990,E,8,192,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.219,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,17,294,1,3,10,0,3,20,1,3,10,145,3,10,9,3,20,145,3,10,-9990,0,0,9,E,8,8,E,8,8.7,E,8,4.3,E,8,73,E,8,990,E,8,214,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.251,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,169,1412,59,3,10,92,3,20,48,3,10,6498,3,10,5867,3,20,5795,3,10,-9990,0,0,9,E,8,8,E,8,9.8,E,8,4.6,E,8,70,E,8,990,E,8,253,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.285,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,312,1412,125,3,10,138,3,20,95,3,10,13687,3,10,11191,3,20,11215,3,10,-9990,0,0,9,E,8,8,E,8,10.9,E,8,3.9,E,8,62,E,8,990,E,8,185,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.221,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,405,1412,182,3,10,185,3,20,129,3,10,19833,3,10,16382,3,20,15137,3,10,-9990,0,0,9,E,8,8,E,8,12.0,E,8,4.2,E,8,59,E,8,990,E,8,271,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.246,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,442,1412,191,3,10,149,3,20,145,3,10,20853,3,10,12502,3,20,16941,3,10,-9990,0,0,9,E,8,8,E,8,12.7,E,8,4.5,E,8,57,E,8,990,E,8,235,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.271,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,420,1412,162,3,10,97,3,20,133,3,10,17709,3,10,6832,3,20,15674,3,10,-9990,0,0,10,E,8,9,E,8,13.1,E,8,4.4,E,8,56,E,8,990,E,8,148,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.264,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,342,1412,119,3,10,71,3,20,102,3,10,13161,3,10,6435,3,20,11601,3,10,-9990,0,0,10,E,8,9,E,8,13.1,E,8,4.7,E,8,57,E,8,990,E,8,190,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.290,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,212,1412,63,3,10,51,3,20,56,3,10,6981,3,10,1729,3,20,6722,3,10,-9990,0,0,9,E,8,8,E,8,12.7,E,8,5.3,E,8,60,E,8,990,E,8,266,E,8,4.1,E,8,-9990,0,0,-9990,0,0,1.343,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,45,485,2,3,10,0,3,20,2,3,10,293,3,10,9,3,20,292,3,10,-9990,0,0,9,E,8,8,E,8,12.1,E,8,5.6,E,8,64,E,8,989,E,8,126,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.370,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,11.8,E,8,5.7,E,8,66,E,8,989,E,8,200,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.380,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,11.5,E,8,5.4,E,8,66,E,8,989,E,8,187,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.356,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,11.2,E,8,5.5,E,8,68,E,8,989,E,8,236,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.362,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,10.9,E,8,5.4,E,8,69,E,8,989,E,8,249,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.350,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,10.6,E,8,4.9,E,8,67,E,8,988,E,8,210,E,8,1.8,E,8,-9990,0,0,-9990,0,0,1.303,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,10.3,E,8,3.6,E,8,63,E,8,988,E,8,220,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.197,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,10.0,E,8,4.0,E,8,66,E,8,988,E,8,171,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.225,E,8,0.048,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.5,E,8,3.7,E,8,67,E,8,988,E,8,202,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.203,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.0,E,8,3.2,E,8,67,E,8,988,E,8,175,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.162,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.4,E,8,3.4,E,8,70,E,8,987,E,8,235,E,8,3.9,E,8,-9990,0,0,-9990,0,0,1.173,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.1,E,8,3.3,E,8,72,E,8,987,E,8,155,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.171,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.9,E,8,3.6,E,8,74,E,8,987,E,8,187,E,8,4.1,E,8,-9990,0,0,-9990,0,0,1.191,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.6,E,8,3.6,E,8,76,E,8,987,E,8,125,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.194,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.3,E,8,3.5,E,8,76,E,8,987,E,8,187,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.185,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.1,E,8,2.9,E,8,75,E,8,986,E,8,164,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.140,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,09:00,17,295,1,3,10,0,3,20,1,3,10,131,3,10,9,3,20,131,3,10,-9990,0,0,10,E,8,9,E,8,7.1,E,8,2.4,E,8,72,E,8,986,E,8,219,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.099,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,10:00,170,1412,30,3,10,0,3,20,30,3,10,3421,3,10,0,3,20,3421,3,10,-9990,0,0,10,E,8,9,E,8,7.5,E,8,3.4,E,8,75,E,8,986,E,8,226,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.179,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,11:00,313,1412,64,3,10,0,3,20,64,3,10,7309,3,10,0,3,20,7309,3,10,-9990,0,0,10,E,8,9,E,8,7.9,E,8,3.6,E,8,74,E,8,986,E,8,192,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.193,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,12:00,406,1412,81,3,10,0,3,20,81,3,10,9242,3,10,0,3,20,9242,3,10,-9990,0,0,10,E,8,9,E,8,8.2,E,8,4.1,E,8,75,E,8,986,E,8,256,E,8,1.8,E,8,-9990,0,0,-9990,0,0,1.234,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,13:00,444,1412,58,3,10,0,3,20,58,3,10,6845,3,10,0,3,20,6845,3,10,-9990,0,0,10,E,8,9,E,8,8.2,E,8,3.9,E,8,74,E,8,985,E,8,221,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.217,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,14:00,423,1412,56,3,10,0,3,20,56,3,10,6611,3,10,0,3,20,6611,3,10,-9990,0,0,10,E,8,9,E,8,8.2,E,8,3.8,E,8,73,E,8,986,E,8,241,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.208,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,15:00,345,1412,53,3,10,0,3,20,53,3,10,6125,3,10,0,3,20,6125,3,10,-9990,0,0,10,E,8,9,E,8,8.2,E,8,4.4,E,8,77,E,8,986,E,8,195,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.259,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,16:00,215,1412,33,3,10,0,3,20,33,3,10,3782,3,10,0,3,20,3782,3,10,-9990,0,0,10,E,8,9,E,8,8.1,E,8,4.5,E,8,78,E,8,986,E,8,202,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.273,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,17:00,47,497,4,3,10,0,3,20,4,3,10,548,3,10,10,3,20,547,3,10,-9990,0,0,10,E,8,9,E,8,7.8,E,8,4.5,E,8,80,E,8,986,E,8,246,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.271,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.4,E,8,5.7,E,8,89,E,8,987,E,8,231,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.379,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.8,E,8,5.1,E,8,89,E,8,987,E,8,242,E,8,1.6,E,8,-9990,0,0,-9990,0,0,1.326,E,8,0.045,E,8,0.20,E,8,1,-9990,0,0
01/02/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.7,E,8,5.2,E,8,90,E,8,987,E,8,213,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.339,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.3,E,8,5.4,E,8,94,E,8,987,E,8,198,E,8,0.8,E,8,-9990,0,0,-9990,0,0,1.353,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.0,E,8,5.7,E,8,98,E,8,988,E,8,200,E,8,0.6,E,8,-9990,0,0,-9990,0,0,1.386,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.7,E,8,5.4,E,8,98,E,8,988,E,8,177,E,8,0.4,E,8,-9990,0,0,-9990,0,0,1.353,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.3,E,8,5.0,E,8,98,E,8,988,E,8,278,E,8,0.2,E,8,-9990,0,0,-9990,0,0,1.320,E,8,0.045,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.2,E,8,4.9,E,8,98,E,8,988,E,8,299,E,8,0.2,E,8,-9990,0,0,-9990,0,0,1.307,E,8,0.043,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.1,E,8,4.8,E,8,98,E,8,989,E,8,305,E,8,0.2,E,8,-9990,0,0,-9990,0,0,1.301,E,8,0.043,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.1,E,8,4.8,E,8,98,E,8,989,E,8,302,E,8,0.3,E,8,-9990,0,0,-9990,0,0,1.295,E,8,0.043,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.1,E,8,4.8,E,8,98,E,8,989,E,8,261,E,8,0.2,E,8,-9990,0,0,-9990,0,0,1.296,E,8,0.043,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.1,E,8,4.8,E,8,98,E,8,989,E,8,309,E,8,0.3,E,8,-9990,0,0,-9990,0,0,1.297,E,8,0.043,E,8,0.20,E,8,0,-9990,0,0
