77470,Perpignan,,1,42.733,2.867,  42
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,11.1,E,8,6.9,E,8,75,E,8,1011,E,8,173,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.502,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,11.0,E,8,6.9,E,8,76,E,8,1011,E,8,207,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.505,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,10.8,E,8,6.4,E,8,74,E,8,1011,E,8,249,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.456,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,10.8,E,8,6.3,E,8,74,E,8,1011,E,8,310,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.439,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,10.8,E,8,6.0,E,8,72,E,8,1011,E,8,263,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.414,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,10.7,E,8,6.3,E,8,74,E,8,1011,E,8,252,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.439,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,10.8,E,8,6.2,E,8,73,E,8,1011,E,8,276,E,8,2.5,E,8,-9990,0,0,-9990,0,0,1.429,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,10.8,E,8,5.7,E,8,71,E,8,1011,E,8,237,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.381,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,39,412,6,3,10,0,3,20,6,3,10,712,3,10,9,3,20,711,3,10,-9990,0,0,6,E,8,5,E,8,11.0,E,8,5.9,E,8,71,E,8,1011,E,8,169,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.403,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,233,1412,125,3,10,288,3,20,77,3,10,12719,3,10,13092,3,20,10555,3,10,-9990,0,0,6,E,8,5,E,8,13.2,E,8,6.3,E,8,63,E,8,1011,E,8,253,E,8,4.5,E,8,-9990,0,0,-9990,0,0,1.444,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,403,1412,246,3,10,669,3,20,55,3,10,25784,3,10,59928,3,20,8685,3,10,-9990,0,0,0,E,8,0,E,8,15.4,E,8,5.5,E,8,52,E,8,1011,E,8,95,E,8,4.0,E,8,-9990,0,0,-9990,0,0,1.364,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,519,1412,339,3,10,765,3,20,58,3,10,36483,3,10,74610,3,20,9041,3,10,-9990,0,0,0,E,8,0,E,8,17.4,E,8,5.7,E,8,46,E,8,1011,E,8,181,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.384,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,575,1412,394,3,10,838,3,20,53,3,10,42552,3,10,84613,3,20,8105,3,10,-9990,0,0,0,E,8,0,E,8,19.0,E,8,5.9,E,8,42,E,8,1011,E,8,145,E,8,4.3,E,8,-9990,0,0,-9990,0,0,1.403,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,565,1412,383,3,10,819,3,20,55,3,10,41291,3,10,82149,3,20,8385,3,10,-9990,0,0,0,E,8,0,E,8,20.0,E,8,5.7,E,8,39,E,8,1011,E,8,103,E,8,4.5,E,8,-9990,0,0,-9990,0,0,1.385,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,492,1412,319,3,10,754,3,20,56,3,10,34169,3,10,72804,3,20,8789,3,10,-9990,0,0,0,E,8,0,E,8,19.2,E,8,5.8,E,8,41,E,8,1011,E,8,100,E,8,4.0,E,8,-9990,0,0,-9990,0,0,1.393,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,360,1412,213,3,10,635,3,20,51,3,10,22242,3,10,55316,3,20,8148,3,10,-9990,0,0,6,E,8,5,E,8,20.2,E,8,6.4,E,8,41,E,8,1011,E,8,176,E,8,5.6,E,8,-9990,0,0,-9990,0,0,1.455,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,177,1412,88,3,10,407,3,20,37,3,10,9118,3,10,27131,3,20,5713,3,10,-9990,0,0,6,E,8,5,E,8,19.2,E,8,6.6,E,8,44,E,8,1011,E,8,36,E,8,4.3,E,8,-9990,0,0,-9990,0,0,1.475,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,11,214,1,3,10,0,3,20,1,3,10,80,3,10,7,3,20,80,3,10,-9990,0,0,6,E,8,5,E,8,17.9,E,8,6.5,E,8,47,E,8,1011,E,8,155,E,8,4.8,E,8,-9990,0,0,-9990,0,0,1.465,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,17.1,E,8,6.1,E,8,48,E,8,1012,E,8,97,E,8,4.0,E,8,-9990,0,0,-9990,0,0,1.420,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,16.2,E,8,6.0,E,8,50,E,8,1012,E,8,146,E,8,4.0,E,8,-9990,0,0,-9990,0,0,1.410,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,15.4,E,8,5.7,E,8,52,E,8,1012,E,8,159,E,8,4.0,E,8,-9990,0,0,-9990,0,0,1.380,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,14.6,E,8,4.9,E,8,52,E,8,1012,E,8,120,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.311,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,13.8,E,8,3.5,E,8,50,E,8,1012,E,8,220,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.183,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,13.0,E,8,3.6,E,8,53,E,8,1012,E,8,216,E,8,2.5,E,8,-9990,0,0,-9990,0,0,1.197,E,8,0.130,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,11.8,E,8,3.3,E,8,56,E,8,1012,E,8,292,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.168,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,10.5,E,8,2.6,E,8,58,E,8,1012,E,8,220,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.110,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
