71200,SAINT-BRIEUC ARMOR,,1,48.530,-2.850, 136
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,10.8,E,8,7.0,E,8,77,E,8,998,E,8,218,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.516,E,8,0.115,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,10.6,E,8,7.0,E,8,79,E,8,998,E,8,252,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.516,E,8,0.115,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,10.4,E,8,6.6,E,8,77,E,8,998,E,8,249,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.468,E,8,0.115,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,10.2,E,8,6.4,E,8,77,E,8,998,E,8,310,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.448,E,8,0.115,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,10.1,E,8,6.1,E,8,76,E,8,998,E,8,263,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.423,E,8,0.115,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,10.0,E,8,6.3,E,8,78,E,8,998,E,8,252,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.444,E,8,0.115,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.9,E,8,6.0,E,8,77,E,8,998,E,8,276,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.416,E,8,0.115,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.9,E,8,5.8,E,8,75,E,8,998,E,8,237,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.388,E,8,0.115,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.8,E,8,6.1,E,8,77,E,8,998,E,8,259,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.419,E,8,0.115,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,64,586,8,3,10,0,3,20,8,3,10,955,3,10,7,3,20,954,3,10,-9990,0,0,9,E,8,8,E,8,10.1,E,8,6.3,E,8,77,E,8,998,E,8,298,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.438,E,8,0.115,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,234,1412,78,3,10,86,3,20,64,3,10,8555,3,10,5596,3,20,7627,3,10,-9990,0,0,9,E,8,8,E,8,11.3,E,8,5.6,E,8,68,E,8,998,E,8,185,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.378,E,8,0.115,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,358,1412,134,3,10,80,3,20,114,3,10,14821,3,10,7418,3,20,12938,3,10,-9990,0,0,10,E,8,9,E,8,12.3,E,8,5.9,E,8,65,E,8,998,E,8,271,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.406,E,8,0.115,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,430,1412,176,3,10,126,3,20,138,3,10,19206,3,10,9845,3,20,16208,3,10,-9990,0,0,9,E,8,8,E,8,13.2,E,8,6.2,E,8,63,E,8,998,E,8,235,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.436,E,8,0.115,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,444,1412,174,3,10,104,3,20,142,3,10,19027,3,10,7530,3,20,16659,3,10,-9990,0,0,9,E,8,8,E,8,13.7,E,8,6.2,E,8,60,E,8,998,E,8,148,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.429,E,8,0.115,E,8,0.20,E,8,0,-9990,0,0
