106280,Geisenheim,,1,49.983,7.950,  24
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,-991.2,E,8,6.3,E,8,89,E,8,1007,E,8,38,E,8,0.0,E,8,-9990,0,0,-9990,0,0,1.444,E,8,0.127,E,8,0.73,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,-1008.9,E,8,5.9,E,8,83,E,8,1007,E,8,72,E,8,0.0,E,8,-9990,0,0,-9990,0,0,1.405,E,8,0.127,E,8,0.72,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,-1008.9,E,8,5.6,E,8,83,E,8,1007,E,8,204,E,8,0.0,E,8,-9990,0,0,-9990,0,0,1.371,E,8,0.127,E,8,0.70,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,-1008.9,E,8,5.5,E,8,83,E,8,1007,E,8,220,E,8,0.0,E,8,-9990,0,0,-9990,0,0,1.362,E,8,0.127,E,8,0.69,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,-1008.9,E,8,4.4,E,8,77,E,8,1007,E,8,173,E,8,0.0,E,8,-9990,0,0,-9990,0,0,1.258,E,8,0.127,E,8,0.68,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,-1008.9,E,8,4.6,E,8,79,E,8,1007,E,8,207,E,8,0.0,E,8,-9990,0,0,-9990,0,0,1.276,E,8,0.127,E,8,0.66,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,-1008.9,E,8,4.3,E,8,78,E,8,1007,E,8,141,E,8,0.0,E,8,-9990,0,0,-9990,0,0,1.251,E,8,0.127,E,8,0.65,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,-1008.9,E,8,4.0,E,8,77,E,8,1007,E,8,192,E,8,0.0,E,8,-9990,0,0,-9990,0,0,1.225,E,8,0.127,E,8,0.64,E,8,0,-9990,0,0
01/01/2005,09:00,4,77,0,3,10,0,3,20,0,3,10,35,3,10,3,3,20,35,3,10,-9990,0,0,10,E,8,9,E,8,-1008.9,E,8,4.3,E,8,78,E,8,1007,E,8,34,E,8,0.0,E,8,-9990,0,0,-9990,0,0,1.253,E,8,0.127,E,8,0.63,E,8,0,-9990,0,0
01/01/2005,10:00,116,994,12,3,10,0,3,20,12,3,10,1378,3,10,0,3,20,1378,3,10,-9990,0,0,10,E,8,9,E,8,-1008.9,E,8,4.4,E,8,78,E,8,1007,E,8,163,E,8,0.0,E,8,-9990,0,0,-9990,0,0,1.265,E,8,0.127,E,8,0.62,E,8,0,-9990,0,0
01/01/2005,11:00,238,1129,26,3,10,0,3,20,26,3,10,3100,3,10,0,3,20,3100,3,10,-9990,0,0,10,E,8,9,E,8,-1008.9,E,8,5.5,E,8,83,E,8,1007,E,8,50,E,8,0.0,E,8,-9990,0,0,-9990,0,0,1.361,E,8,0.127,E,8,0.61,E,8,0,-9990,0,0
