108700,Muenchen Airp.,,1,48.367,11.800, 470
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.0,E,8,6.9,E,8,87,E,8,954,E,8,218,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.508,E,8,0.147,E,8,0.29,E,8,5,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.7,E,8,6.9,E,8,83,E,8,954,E,8,252,E,8,0.8,E,8,-9990,0,0,-9990,0,0,1.499,E,8,0.147,E,8,0.28,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.4,E,8,6.6,E,8,83,E,8,954,E,8,249,E,8,0.6,E,8,-9990,0,0,-9990,0,0,1.472,E,8,0.147,E,8,0.27,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.3,E,8,6.5,E,8,83,E,8,954,E,8,265,E,8,0.9,E,8,-9990,0,0,-9990,0,0,1.462,E,8,0.147,E,8,0.26,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.2,E,8,6.4,E,8,83,E,8,954,E,8,263,E,8,0.9,E,8,-9990,0,0,-9990,0,0,1.450,E,8,0.147,E,8,0.25,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.1,E,8,5.1,E,8,76,E,8,954,E,8,252,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.326,E,8,0.147,E,8,0.24,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.9,E,8,6.1,E,8,83,E,8,954,E,8,276,E,8,0.8,E,8,-9990,0,0,-9990,0,0,1.427,E,8,0.147,E,8,0.23,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.9,E,8,4.5,E,8,74,E,8,954,E,8,237,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.271,E,8,0.147,E,8,0.22,E,8,0,-9990,0,0
01/01/2005,09:00,61,564,3,3,10,0,3,20,3,3,10,390,3,10,9,3,20,389,3,10,-9990,0,0,10,E,8,9,E,8,8.9,E,8,4.7,E,8,75,E,8,954,E,8,259,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.289,E,8,0.147,E,8,0.22,E,8,0,-9990,0,0
01/01/2005,10:00,232,1402,15,3,10,0,3,20,15,3,10,1824,3,10,1,3,20,1824,3,10,-9990,0,0,10,E,8,9,E,8,9.0,E,8,4.8,E,8,75,E,8,954,E,8,298,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.298,E,8,0.147,E,8,0.20,E,8,0,-9990,0,0
