64470,Uccle,,1,50.800,4.350,  24
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.1,E,8,6.3,E,8,89,E,8,1007,E,8,263,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.444,E,8,0.159,E,8,0.73,E,8,4,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.6,E,8,5.9,E,8,83,E,8,1007,E,8,252,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.405,E,8,0.159,E,8,0.72,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.3,E,8,5.6,E,8,83,E,8,1007,E,8,249,E,8,1.0,E,8,-9990,0,0,-9990,0,0,1.371,E,8,0.159,E,8,0.70,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.2,E,8,5.5,E,8,83,E,8,1007,E,8,265,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.362,E,8,0.159,E,8,0.69,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.1,E,8,4.4,E,8,77,E,8,1007,E,8,263,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.258,E,8,0.159,E,8,0.68,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.0,E,8,4.6,E,8,79,E,8,1007,E,8,252,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.276,E,8,0.159,E,8,0.66,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.9,E,8,4.3,E,8,78,E,8,1007,E,8,276,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.251,E,8,0.159,E,8,0.65,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.8,E,8,4.0,E,8,77,E,8,1007,E,8,237,E,8,1.9,E,8,-9990,0,0,-9990,0,0,1.225,E,8,0.159,E,8,0.64,E,8,0,-9990,0,0
01/01/2005,09:00,4,241,0,3,10,0,3,20,0,3,10,36,3,10,10,3,20,35,3,10,-9990,0,0,10,E,8,9,E,8,7.8,E,8,4.3,E,8,78,E,8,1007,E,8,259,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.253,E,8,0.159,E,8,0.63,E,8,0,-9990,0,0
01/01/2005,10:00,116,1466,12,3,10,0,3,20,12,3,10,1382,3,10,0,3,20,1382,3,10,-9990,0,0,10,E,8,9,E,8,8.0,E,8,4.4,E,8,78,E,8,1007,E,8,298,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.265,E,8,0.159,E,8,0.62,E,8,0,-9990,0,0
01/01/2005,11:00,238,1328,26,3,10,0,3,20,26,3,10,3083,3,10,0,3,20,3083,3,10,-9990,0,0,10,E,8,9,E,8,8.2,E,8,5.5,E,8,83,E,8,1007,E,8,185,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.361,E,8,0.159,E,8,0.61,E,8,0,-9990,0,0
01/01/2005,12:00,314,1274,39,3,10,0,3,20,39,3,10,4581,3,10,0,3,20,4581,3,10,-9990,0,0,10,E,8,9,E,8,8.5,E,8,3.7,E,8,72,E,8,1007,E,8,271,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.199,E,8,0.159,E,8,0.60,E,8,0,-9990,0,0
01/01/2005,13:00,339,1225,48,3,10,0,3,20,48,3,10,5659,3,10,0,3,20,5659,3,10,-9990,0,0,10,E,8,9,E,8,8.7,E,8,3.8,E,8,71,E,8,1007,E,8,235,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.210,E,8,0.159,E,8,0.59,E,8,0,-9990,0,0
