100150,HELGOLAND/DUNE,,1,54.017,7.883,   4
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.0,E,8,4.5,E,8,68,E,8,1013,E,8,218,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.268,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.8,E,8,4.5,E,8,70,E,8,1013,E,8,207,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.273,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.6,E,8,4.0,E,8,68,E,8,1013,E,8,204,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.226,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.6,E,8,3.8,E,8,67,E,8,1013,E,8,220,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.209,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.5,E,8,3.5,E,8,66,E,8,1013,E,8,218,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.185,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.4,E,8,3.8,E,8,68,E,8,1013,E,8,207,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.210,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.4,E,8,3.5,E,8,66,E,8,1013,E,8,231,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.181,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.4,E,8,3.1,E,8,65,E,8,1013,E,8,192,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.151,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,10,E,8,9,E,8,9.5,E,8,3.5,E,8,66,E,8,1013,E,8,214,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.187,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,89,1412,23,3,10,3,3,20,23,3,10,2551,3,10,226,3,20,2536,3,10,-9990,0,0,10,E,8,9,E,8,10.0,E,8,3.7,E,8,65,E,8,1013,E,8,253,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.204,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,211,1412,49,3,10,0,3,20,49,3,10,5450,3,10,0,3,20,5450,3,10,-9990,0,0,10,E,8,9,E,8,10.5,E,8,2.6,E,8,58,E,8,1013,E,8,140,E,8,4.0,E,8,-9990,0,0,-9990,0,0,1.116,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,289,1412,69,3,10,0,3,20,69,3,10,7757,3,10,0,3,20,7757,3,10,-9990,0,0,10,E,8,9,E,8,11.0,E,8,2.8,E,8,57,E,8,1013,E,8,226,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.126,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,316,1412,130,3,10,197,3,20,86,3,10,13785,3,10,14070,3,20,10638,3,10,-9990,0,0,8,E,8,6,E,8,11.8,E,8,3.0,E,8,54,E,8,1013,E,8,190,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.143,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,291,1412,139,3,10,290,3,20,79,3,10,14400,3,10,16685,3,20,10961,3,10,-9990,0,0,10,E,8,9,E,8,12.4,E,8,2.8,E,8,52,E,8,1013,E,8,148,E,8,4.6,E,8,-9990,0,0,-9990,0,0,1.131,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,216,1412,66,3,10,55,3,20,57,3,10,7194,3,10,2383,3,20,6830,3,10,-9990,0,0,10,E,8,9,E,8,12.5,E,8,3.1,E,8,53,E,8,1013,E,8,190,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.156,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,96,1412,4,3,10,0,3,20,4,3,10,513,3,10,11,3,20,513,3,10,-9990,0,0,10,E,8,9,E,8,12.0,E,8,3.8,E,8,57,E,8,1013,E,8,221,E,8,5.3,E,8,-9990,0,0,-9990,0,0,1.212,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,1,86,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,10,E,8,9,E,8,11.6,E,8,4.2,E,8,61,E,8,1013,E,8,126,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.249,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.4,E,8,4.4,E,8,62,E,8,1013,E,8,200,E,8,4.8,E,8,-9990,0,0,-9990,0,0,1.263,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.2,E,8,4.1,E,8,62,E,8,1013,E,8,187,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.240,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.0,E,8,4.3,E,8,63,E,8,1013,E,8,191,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.249,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.8,E,8,4.1,E,8,63,E,8,1013,E,8,204,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.240,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.6,E,8,3.6,E,8,62,E,8,1013,E,8,165,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.192,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.4,E,8,2.2,E,8,57,E,8,1013,E,8,220,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.081,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.2,E,8,2.6,E,8,59,E,8,1013,E,8,171,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.113,E,8,0.091,E,8,0.20,E,8,0,-9990,0,0
