63300,HOEK VAN HOLLAND,,1,51.980,4.100,  13
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.1,E,8,7.5,E,8,84,E,8,1008,E,8,173,E,8,5.3,E,8,-9990,0,0,-9990,0,0,1.571,E,8,0.092,E,8,0.23,E,8,4,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.5,E,8,6.9,E,8,78,E,8,1008,E,8,207,E,8,4.7,E,8,-9990,0,0,-9990,0,0,1.501,E,8,0.092,E,8,0.21,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.2,E,8,6.6,E,8,78,E,8,1008,E,8,204,E,8,4.3,E,8,-9990,0,0,-9990,0,0,1.474,E,8,0.092,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.1,E,8,6.5,E,8,78,E,8,1008,E,8,265,E,8,4.7,E,8,-9990,0,0,-9990,0,0,1.466,E,8,0.092,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.1,E,8,5.0,E,8,71,E,8,1008,E,8,218,E,8,4.7,E,8,-9990,0,0,-9990,0,0,1.315,E,8,0.092,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.9,E,8,5.3,E,8,73,E,8,1008,E,8,207,E,8,5.0,E,8,-9990,0,0,-9990,0,0,1.340,E,8,0.092,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.8,E,8,6.2,E,8,78,E,8,1008,E,8,231,E,8,4.5,E,8,-9990,0,0,-9990,0,0,1.433,E,8,0.092,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.7,E,8,4.6,E,8,70,E,8,1008,E,8,192,E,8,5.3,E,8,-9990,0,0,-9990,0,0,1.278,E,8,0.092,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,10,E,8,9,E,8,9.7,E,8,5.0,E,8,72,E,8,1008,E,8,214,E,8,4.9,E,8,-9990,0,0,-9990,0,0,1.314,E,8,0.092,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,88,1412,11,3,10,0,3,20,11,3,10,1278,3,10,0,3,20,1278,3,10,-9990,0,0,10,E,8,9,E,8,9.8,E,8,5.1,E,8,72,E,8,1008,E,8,253,E,8,6.4,E,8,-9990,0,0,-9990,0,0,1.323,E,8,0.092,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,227,1412,29,3,10,0,3,20,29,3,10,3353,3,10,0,3,20,3353,3,10,-9990,0,0,10,E,8,9,E,8,10.0,E,8,6.4,E,8,78,E,8,1008,E,8,140,E,8,6.0,E,8,-9990,0,0,-9990,0,0,1.449,E,8,0.092,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,320,1412,42,3,10,0,3,20,42,3,10,4964,3,10,0,3,20,4964,3,10,-9990,0,0,10,E,8,9,E,8,10.2,E,8,4.0,E,8,65,E,8,1008,E,8,226,E,8,5.8,E,8,-9990,0,0,-9990,0,0,1.228,E,8,0.092,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,362,1412,52,3,10,0,3,20,52,3,10,6086,3,10,0,3,20,6086,3,10,-9990,0,0,10,E,8,9,E,8,10.3,E,8,4.1,E,8,65,E,8,1008,E,8,190,E,8,6.2,E,8,-9990,0,0,-9990,0,0,1.236,E,8,0.092,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,350,1412,59,3,10,0,3,20,59,3,10,6771,3,10,0,3,20,6771,3,10,-9990,0,0,10,E,8,9,E,8,10.4,E,8,3.9,E,8,64,E,8,1008,E,8,103,E,8,6.5,E,8,-9990,0,0,-9990,0,0,1.216,E,8,0.092,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,284,1412,43,3,10,0,3,20,43,3,10,4937,3,10,0,3,20,4937,3,10,-9990,0,0,10,E,8,9,E,8,10.4,E,8,4.1,E,8,65,E,8,1008,E,8,145,E,8,6.2,E,8,-9990,0,0,-9990,0,0,1.233,E,8,0.092,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,170,1412,21,3,10,0,3,20,21,3,10,2473,3,10,0,3,20,2473,3,10,-9990,0,0,10,E,8,9,E,8,10.3,E,8,6.7,E,8,78,E,8,1009,E,8,221,E,8,7.4,E,8,-9990,0,0,-9990,0,0,1.480,E,8,0.092,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,27,392,1,3,10,0,3,20,1,3,10,184,3,10,9,3,20,183,3,10,-9990,0,0,10,E,8,9,E,8,10.1,E,8,6.5,E,8,78,E,8,1009,E,8,126,E,8,6.5,E,8,-9990,0,0,-9990,0,0,1.458,E,8,0.092,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.8,E,8,7.0,E,8,83,E,8,1009,E,8,200,E,8,7.0,E,8,-9990,0,0,-9990,0,0,1.513,E,8,0.092,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.5,E,8,6.7,E,8,83,E,8,1009,E,8,142,E,8,6.2,E,8,-9990,0,0,-9990,0,0,1.481,E,8,0.092,E,8,0.20,E,8,2,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.4,E,8,5.8,E,8,78,E,8,1010,E,8,191,E,8,6.4,E,8,-9990,0,0,-9990,0,0,1.397,E,8,0.092,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.4,E,8,5.8,E,8,78,E,8,1010,E,8,204,E,8,6.4,E,8,-9990,0,0,-9990,0,0,1.390,E,8,0.092,E,8,0.20,E,8,0,-9990,0,0
