103931,Lindenberg (BSRN),,1,52.217,14.117, 125
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,5,E,8,9.1,E,8,6.0,E,8,81,E,8,1001,E,8,218,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.409,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,5,E,8,8.7,E,8,5.9,E,8,83,E,8,1001,E,8,252,E,8,1.0,E,8,-9990,0,0,-9990,0,0,1.403,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,5,E,8,8.3,E,8,5.4,E,8,82,E,8,1001,E,8,249,E,8,0.7,E,8,-9990,0,0,-9990,0,0,1.353,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,5,E,8,8.1,E,8,5.2,E,8,82,E,8,1001,E,8,265,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.335,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,5,E,8,7.9,E,8,4.9,E,8,81,E,8,1001,E,8,263,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.311,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,5,E,8,7.8,E,8,5.1,E,8,83,E,8,1001,E,8,252,E,8,1.4,E,8,-9990,0,0,-9990,0,0,1.328,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,5,E,8,7.7,E,8,4.8,E,8,82,E,8,1001,E,8,276,E,8,1.0,E,8,-9990,0,0,-9990,0,0,1.302,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,5,E,8,7.6,E,8,4.5,E,8,81,E,8,1001,E,8,237,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.275,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,36,459,5,3,10,0,3,20,5,3,10,625,3,10,10,3,20,624,3,10,-9990,0,0,5,E,8,5,E,8,7.8,E,8,4.7,E,8,80,E,8,1001,E,8,214,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.288,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,180,1412,73,3,10,201,3,20,48,3,10,7639,3,10,6933,3,20,6753,3,10,-9990,0,0,5,E,8,4,E,8,8.9,E,8,4.9,E,8,76,E,8,1001,E,8,298,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.309,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
