63100,Vlissingen,,1,51.450,3.600,   8
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,8,E,8,6,E,8,15.8,E,8,8.0,E,8,69,E,8,1015,E,8,226,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.625,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,3,E,8,2,E,8,13.0,E,8,13.0,E,8,100,E,8,1016,E,8,76,E,8,2.2,E,8,-9990,0,0,-9990,0,0,2.206,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,8,E,8,6,E,8,17.3,E,8,15.4,E,8,88,E,8,1014,E,8,269,E,8,4.7,E,8,-9990,0,0,-9990,0,0,2.724,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,1,E,8,9,E,8,15.4,E,8,15.1,E,8,98,E,8,1011,E,8,357,E,8,5.7,E,8,-9990,0,0,-9990,0,0,2.671,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,3,14,0,3,10,0,3,20,0,3,10,28,3,10,1,3,20,28,3,10,-9990,0,0,10,E,8,9,E,8,13.7,E,8,12.3,E,8,91,E,8,1010,E,8,353,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.916,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,28,3,0,4,3,0,27,3,0,3154,3,0,0,3,0,3108,3,0,-9990,0,0,10,E,8,9,E,8,14.7,E,8,13.8,E,8,94,E,8,1010,E,8,353,E,8,0.9,E,8,-9990,0,0,-9990,0,0,2.433,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,300,486,140,3,10,262,3,20,54,3,10,16781,3,10,22852,3,20,8711,3,10,-9990,0,0,4,E,8,3,E,8,17.7,E,8,14.0,E,8,79,E,8,1014,E,8,274,E,8,1.8,E,8,-9990,0,0,-9990,0,0,2.088,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,318,3,0,628,3,0,58,3,0,35184,3,0,0,3,0,9175,3,0,-9990,0,0,0,E,8,0,E,8,21.9,E,8,17.0,E,8,74,E,8,1016,E,8,236,E,8,3.5,E,8,-9990,0,0,-9990,0,0,3.056,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,678,801,420,3,10,460,3,20,165,3,10,46152,3,10,29008,3,20,18331,3,10,-9990,0,0,10,E,8,9,E,8,17.9,E,8,17.6,E,8,98,E,8,1009,E,8,128,E,8,6.5,E,8,-9990,0,0,-9990,0,0,2.360,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,0,0,262,3,0,0,3,0,166,3,0,19797,3,0,0,3,0,19797,3,0,-9990,0,0,10,E,8,9,E,8,14.6,E,8,12.6,E,8,88,E,8,1008,E,8,37,E,8,4.9,E,8,-9990,0,0,-9990,0,0,2.913,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,0,0,121,3,0,0,3,0,121,3,0,14922,3,0,0,3,0,14922,3,0,-9990,0,0,10,E,8,9,E,8,17.7,E,8,17.3,E,8,74,E,8,1010,E,8,265,E,8,2.8,E,8,-9990,0,0,-9990,0,0,3.113,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,1064,1700,360,3,10,50,3,20,319,3,10,40467,3,10,4390,3,20,18891,3,10,-9990,0,0,0,E,8,0,E,8,21.7,E,8,12.7,E,8,56,E,8,1017,E,8,278,E,8,11.0,E,8,-9990,0,0,-9990,0,0,2.240,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,1149,1313,470,3,10,73,3,20,339,3,10,69365,3,10,9815,3,20,46531,3,10,-9990,0,0,10,E,8,7,E,8,22.3,E,8,12.9,E,8,74,E,8,1017,E,8,282,E,8,4.1,E,8,-9990,0,0,-9990,0,0,3.085,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,1100,1304,740,3,10,597,3,20,243,3,10,80126,3,10,57691,3,20,31489,3,10,-9990,0,0,4,E,8,3,E,8,20.4,E,8,14.1,E,8,56,E,8,1015,E,8,200,E,8,11.5,E,8,-9990,0,0,-9990,0,0,2.028,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,0,0,273,3,0,13,3,0,264,3,0,32071,3,0,0,3,0,31093,3,0,-9990,0,0,10,E,8,9,E,8,16.0,E,8,13.8,E,8,87,E,8,1005,E,8,284,E,8,3.3,E,8,-9990,0,0,-9990,0,0,2.436,E,8,0.126,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,16:00,914,3192,341,3,10,239,3,20,319,3,10,52739,3,10,15799,3,20,36790,3,10,-9990,0,0,8,E,8,6,E,8,19.3,E,8,8.2,E,8,48,E,8,1013,E,8,290,E,8,0.4,E,8,-9990,0,0,-9990,0,0,1.946,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,0,0,437,3,0,454,3,0,195,3,0,47360,3,0,0,3,0,28644,3,0,-9990,0,0,5,E,8,4,E,8,20.6,E,8,13.7,E,8,70,E,8,1016,E,8,272,E,8,10.0,E,8,-9990,0,0,-9990,0,0,2.415,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,558,2088,49,3,10,0,3,20,49,3,10,6087,3,10,-622815,3,20,6087,3,10,-9990,0,0,10,E,8,9,E,8,19.2,E,8,16.2,E,8,83,E,8,1009,E,8,181,E,8,9.1,E,8,-9990,0,0,-9990,0,0,2.814,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,19:00,338,746,176,3,10,525,3,20,67,3,10,18997,3,10,11063,3,20,10524,3,10,-9990,0,0,0,E,8,0,E,8,21.7,E,8,13.2,E,8,58,E,8,1017,E,8,185,E,8,7.4,E,8,-9990,0,0,-9990,0,0,2.612,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,20:00,0,0,38,3,0,100,3,0,27,3,0,4301,3,0,0,3,0,4301,3,0,-9990,0,0,6,E,8,5,E,8,19.7,E,8,16.8,E,8,75,E,8,1011,E,8,20,E,8,1.8,E,8,-9990,0,0,-9990,0,0,3.013,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,3,E,8,2,E,8,22.3,E,8,18.3,E,8,78,E,8,1013,E,8,210,E,8,6.5,E,8,-9990,0,0,-9990,0,0,2.305,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
