84820,Malaga Airp.,,1,36.667,-4.483,   7
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,14.2,E,8,10.9,E,8,81,E,8,1011,E,8,173,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.986,E,8,0.144,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,14.0,E,8,7.7,E,8,66,E,8,1011,E,8,297,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.591,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,13.6,E,8,7.2,E,8,65,E,8,1011,E,8,294,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.534,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,13.4,E,8,7.0,E,8,65,E,8,1011,E,8,310,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.513,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,13.2,E,8,6.7,E,8,64,E,8,1011,E,8,308,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.484,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,13.1,E,8,6.9,E,8,66,E,8,1011,E,8,297,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.508,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,12.9,E,8,6.6,E,8,65,E,8,1011,E,8,321,E,8,1.6,E,8,-9990,0,0,-9990,0,0,1.475,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,12.8,E,8,6.3,E,8,64,E,8,1011,E,8,282,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.441,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,22,289,1,3,10,0,3,20,1,3,10,131,3,10,7,3,20,130,3,10,-9990,0,0,9,E,8,8,E,8,12.8,E,8,6.7,E,8,66,E,8,1011,E,8,169,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.480,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,226,1412,83,3,10,99,3,20,67,3,10,9037,3,10,6509,3,20,7994,3,10,-9990,0,0,9,E,8,8,E,8,14.0,E,8,7.1,E,8,63,E,8,1011,E,8,343,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.526,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
