85400,Monte Real,,0,39.830,-8.880,  54
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,12.6,E,8,11.8,E,8,95,E,8,1001,E,8,218,E,8,1.2,E,8,-9990,0,0,-9990,0,0,2.120,E,8,0.078,E,8,0.20,E,8,11,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,14.2,E,8,11.5,E,8,83,E,8,1001,E,8,252,E,8,0.8,E,8,-9990,0,0,-9990,0,0,2.070,E,8,0.078,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,14.0,E,8,11.2,E,8,84,E,8,1001,E,8,294,E,8,0.6,E,8,-9990,0,0,-9990,0,0,2.034,E,8,0.078,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,13.9,E,8,11.2,E,8,84,E,8,1001,E,8,310,E,8,0.9,E,8,-9990,0,0,-9990,0,0,2.030,E,8,0.078,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,13.9,E,8,11.1,E,8,84,E,8,1001,E,8,263,E,8,0.9,E,8,-9990,0,0,-9990,0,0,2.021,E,8,0.078,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,13.8,E,8,10.0,E,8,78,E,8,1001,E,8,252,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.868,E,8,0.078,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,13.7,E,8,10.9,E,8,84,E,8,1001,E,8,276,E,8,0.8,E,8,-9990,0,0,-9990,0,0,1.994,E,8,0.078,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,13.7,E,8,9.4,E,8,76,E,8,1001,E,8,282,E,8,1.6,E,8,-9990,0,0,-9990,0,0,1.795,E,8,0.078,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,108,685,13,3,10,0,3,20,13,3,10,1579,3,10,2,3,20,1579,3,10,-9990,0,0,10,E,8,9,E,8,14.0,E,8,9.7,E,8,76,E,8,1001,E,8,259,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.832,E,8,0.078,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,325,1412,84,3,10,7,3,20,83,3,10,9362,3,10,670,3,20,9208,3,10,-9990,0,0,10,E,8,9,E,8,14.7,E,8,12.0,E,8,83,E,8,1001,E,8,298,E,8,3.3,E,8,-9990,0,0,-9990,0,0,2.145,E,8,0.078,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,491,1412,118,3,10,0,3,20,118,3,10,13334,3,10,0,3,20,13334,3,10,-9990,0,0,10,E,8,9,E,8,15.2,E,8,12.5,E,8,83,E,8,1001,E,8,95,E,8,2.5,E,8,-9990,0,0,-9990,0,0,2.219,E,8,0.078,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,599,1412,166,3,10,9,3,20,163,3,10,18738,3,10,782,3,20,18406,3,10,-9990,0,0,10,E,8,9,E,8,15.9,E,8,9.7,E,8,67,E,8,1001,E,8,181,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.834,E,8,0.078,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,643,1412,159,3,10,2,3,20,158,3,10,18123,3,10,97,3,20,18078,3,10,-9990,0,0,10,E,8,9,E,8,16.2,E,8,9.6,E,8,65,E,8,1001,E,8,190,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.813,E,8,0.078,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,618,1412,138,3,10,0,3,20,138,3,10,15811,3,10,0,3,20,15811,3,10,-9990,0,0,10,E,8,9,E,8,16.3,E,8,12.6,E,8,79,E,8,1001,E,8,58,E,8,3.1,E,8,-9990,0,0,-9990,0,0,2.233,E,8,0.078,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,528,1412,68,3,10,0,3,20,68,3,10,8084,3,10,0,3,20,8084,3,10,-9990,0,0,10,E,8,9,E,8,16.0,E,8,13.2,E,8,83,E,8,1001,E,8,100,E,8,2.5,E,8,-9990,0,0,-9990,0,0,2.339,E,8,0.078,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,377,1412,48,3,10,0,3,20,48,3,10,5673,3,10,0,3,20,5673,3,10,-9990,0,0,10,E,8,9,E,8,15.6,E,8,12.8,E,8,83,E,8,1001,E,8,176,E,8,3.8,E,8,-9990,0,0,-9990,0,0,2.280,E,8,0.078,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,17:00,176,1412,22,3,10,0,3,20,22,3,10,2523,3,10,0,3,20,2523,3,10,-9990,0,0,10,E,8,9,E,8,15.2,E,8,13.0,E,8,87,E,8,1001,E,8,36,E,8,2.5,E,8,-9990,0,0,-9990,0,0,2.310,E,8,0.078,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,18:00,8,174,0,3,10,0,3,20,0,3,10,53,3,10,6,3,20,53,3,10,-9990,0,0,10,E,8,9,E,8,14.5,E,8,12.4,E,8,87,E,8,1001,E,8,155,E,8,2.9,E,8,-9990,0,0,-9990,0,0,2.215,E,8,0.078,E,8,0.20,E,8,3,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,13.7,E,8,12.2,E,8,91,E,8,1002,E,8,97,E,8,2.1,E,8,-9990,0,0,-9990,0,0,2.180,E,8,0.078,E,8,0.20,E,8,5,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,14.1,E,8,12.0,E,8,87,E,8,1002,E,8,236,E,8,2.1,E,8,-9990,0,0,-9990,0,0,2.145,E,8,0.078,E,8,0.20,E,8,2,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,13.4,E,8,11.3,E,8,87,E,8,1002,E,8,249,E,8,2.1,E,8,-9990,0,0,-9990,0,0,2.044,E,8,0.078,E,8,0.20,E,8,4,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,13.3,E,8,11.2,E,8,87,E,8,1002,E,8,165,E,8,1.2,E,8,-9990,0,0,-9990,0,0,2.038,E,8,0.078,E,8,0.20,E,8,2,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,13.2,E,8,11.1,E,8,87,E,8,1002,E,8,265,E,8,0.7,E,8,-9990,0,0,-9990,0,0,2.019,E,8,0.078,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,13.1,E,8,11.0,E,8,87,E,8,1002,E,8,261,E,8,0.7,E,8,-9990,0,0,-9990,0,0,2.003,E,8,0.078,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,12.6,E,8,9.9,E,8,84,E,8,1003,E,8,292,E,8,0.7,E,8,-9990,0,0,-9990,0,0,1.850,E,8,0.073,E,8,0.20,E,8,0,-9990,0,0
