85540,Faro,,0,37.017,-7.967,   8
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,15.7,E,8,11.6,E,8,76,E,8,1012,E,8,173,E,8,1.5,E,8,-9990,0,0,-9990,0,0,2.089,E,8,0.105,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,15.2,E,8,11.5,E,8,79,E,8,1012,E,8,162,E,8,1.2,E,8,-9990,0,0,-9990,0,0,2.078,E,8,0.105,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,14.6,E,8,11.0,E,8,79,E,8,1012,E,8,159,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.998,E,8,0.105,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,14.3,E,8,10.7,E,8,79,E,8,1012,E,8,220,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.968,E,8,0.105,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,14.0,E,8,10.4,E,8,79,E,8,1012,E,8,173,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.927,E,8,0.105,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,13.8,E,8,10.6,E,8,81,E,8,1012,E,8,162,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.953,E,8,0.105,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,13.6,E,8,10.3,E,8,80,E,8,1012,E,8,186,E,8,1.0,E,8,-9990,0,0,-9990,0,0,1.911,E,8,0.105,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,4,118,0,3,10,0,3,20,0,3,10,25,3,10,5,3,20,25,3,10,-9990,0,0,4,E,8,3,E,8,13.6,E,8,10.4,E,8,81,E,8,1012,E,8,147,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.922,E,8,0.105,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,167,1412,73,3,10,287,3,20,39,3,10,7798,3,10,16307,3,20,5872,3,10,-9990,0,0,4,E,8,3,E,8,14.5,E,8,10.9,E,8,79,E,8,1012,E,8,169,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.985,E,8,0.105,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,385,1412,202,3,10,448,3,20,79,3,10,21788,3,10,36014,3,20,11968,3,10,-9990,0,0,4,E,8,3,E,8,15.7,E,8,11.3,E,8,75,E,8,1012,E,8,208,E,8,3.8,E,8,-9990,0,0,-9990,0,0,2.046,E,8,0.105,E,8,0.20,E,8,0,-9990,0,0
