80010,La Coruna,,1,43.367,-8.417,  67
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,15.7,E,8,13.2,E,8,85,E,8,1000,E,8,173,E,8,2.3,E,8,-9990,0,0,-9990,0,0,2.345,E,8,0.104,E,8,0.20,E,8,6,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,16.5,E,8,12.2,E,8,76,E,8,1000,E,8,207,E,8,1.8,E,8,-9990,0,0,-9990,0,0,2.182,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,16.3,E,8,11.9,E,8,76,E,8,1000,E,8,204,E,8,1.5,E,8,-9990,0,0,-9990,0,0,2.141,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,16.0,E,8,11.7,E,8,76,E,8,1000,E,8,265,E,8,1.8,E,8,-9990,0,0,-9990,0,0,2.109,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,15.9,E,8,11.6,E,8,76,E,8,1000,E,8,218,E,8,1.8,E,8,-9990,0,0,-9990,0,0,2.092,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,15.8,E,8,9.0,E,8,64,E,8,1000,E,8,207,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.746,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,15.6,E,8,11.3,E,8,76,E,8,1000,E,8,231,E,8,1.7,E,8,-9990,0,0,-9990,0,0,2.050,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,15.5,E,8,8.3,E,8,62,E,8,1000,E,8,237,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.659,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,15.4,E,8,8.7,E,8,64,E,8,1000,E,8,214,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.711,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,69,564,3,3,10,0,3,20,3,3,10,398,3,10,8,3,20,397,3,10,-9990,0,0,10,E,8,9,E,8,15.4,E,8,8.9,E,8,65,E,8,1000,E,8,253,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.730,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,269,1412,21,3,10,0,3,20,21,3,10,2565,3,10,0,3,20,2565,3,10,-9990,0,0,10,E,8,9,E,8,15.5,E,8,11.2,E,8,76,E,8,1000,E,8,140,E,8,3.1,E,8,-9990,0,0,-9990,0,0,2.028,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,424,1412,37,3,10,0,3,20,37,3,10,4531,3,10,0,3,20,4531,3,10,-9990,0,0,10,E,8,9,E,8,15.5,E,8,11.3,E,8,76,E,8,1000,E,8,226,E,8,2.8,E,8,-9990,0,0,-9990,0,0,2.041,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,525,1412,51,3,10,0,3,20,51,3,10,6157,3,10,0,3,20,6157,3,10,-9990,0,0,10,E,8,9,E,8,15.6,E,8,7.9,E,8,60,E,8,1000,E,8,190,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.617,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,564,1412,60,3,10,0,3,20,60,3,10,7315,3,10,0,3,20,7315,3,10,-9990,0,0,10,E,8,9,E,8,15.6,E,8,7.7,E,8,59,E,8,1000,E,8,148,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.593,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,539,1412,55,3,10,0,3,20,55,3,10,6673,3,10,0,3,20,6673,3,10,-9990,0,0,10,E,8,9,E,8,15.6,E,8,8.0,E,8,60,E,8,1000,E,8,190,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.624,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,451,1412,43,3,10,0,3,20,43,3,10,5179,3,10,0,3,20,5179,3,10,-9990,0,0,10,E,8,9,E,8,15.6,E,8,11.3,E,8,76,E,8,1000,E,8,221,E,8,4.5,E,8,-9990,0,0,-9990,0,0,2.043,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,307,1412,26,3,10,0,3,20,26,3,10,3158,3,10,0,3,20,3158,3,10,-9990,0,0,10,E,8,9,E,8,15.4,E,8,11.1,E,8,76,E,8,1000,E,8,126,E,8,3.3,E,8,-9990,0,0,-9990,0,0,2.024,E,8,0.104,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,18:00,116,1412,8,3,10,0,3,20,8,3,10,1022,3,10,2,3,20,1022,3,10,-9990,0,0,10,E,8,9,E,8,15.2,E,8,11.9,E,8,80,E,8,1000,E,8,200,E,8,3.8,E,8,-9990,0,0,-9990,0,0,2.130,E,8,0.104,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,19:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,10,E,8,9,E,8,14.8,E,8,11.5,E,8,80,E,8,1000,E,8,187,E,8,3.1,E,8,-9990,0,0,-9990,0,0,2.078,E,8,0.104,E,8,0.20,E,8,3,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,15.0,E,8,10.7,E,8,76,E,8,1000,E,8,191,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.967,E,8,0.104,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,14.6,E,8,11.3,E,8,80,E,8,1001,E,8,204,E,8,3.3,E,8,-9990,0,0,-9990,0,0,2.043,E,8,0.104,E,8,0.20,E,8,2,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,14.5,E,8,11.2,E,8,80,E,8,1001,E,8,165,E,8,2.3,E,8,-9990,0,0,-9990,0,0,2.036,E,8,0.104,E,8,0.20,E,8,1,-9990,0,0
