82210,Madrid/Barajas,,1,40.450,-3.550,  62
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,16.9,E,8,9.4,E,8,61,E,8,1005,E,8,218,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.794,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,16.4,E,8,9.4,E,8,63,E,8,1005,E,8,252,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.794,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,15.8,E,8,8.9,E,8,63,E,8,1005,E,8,294,E,8,0.9,E,8,-9990,0,0,-9990,0,0,1.726,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,15.5,E,8,8.7,E,8,64,E,8,1005,E,8,310,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.701,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,15.2,E,8,8.4,E,8,63,E,8,1005,E,8,263,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.666,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,15.0,E,8,8.6,E,8,66,E,8,1005,E,8,252,E,8,1.4,E,8,-9990,0,0,-9990,0,0,1.695,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,14.8,E,8,8.3,E,8,65,E,8,1005,E,8,276,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.655,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,14.6,E,8,7.9,E,8,64,E,8,1005,E,8,282,E,8,1.8,E,8,-9990,0,0,-9990,0,0,1.614,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,9,187,3,3,10,0,3,20,3,3,10,441,3,10,12,3,20,441,3,10,-9990,0,0,8,E,8,6,E,8,14.6,E,8,8.2,E,8,66,E,8,1005,E,8,259,E,8,1.4,E,8,-9990,0,0,-9990,0,0,1.652,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,180,1393,76,3,10,261,3,20,43,3,10,8086,3,10,13659,3,20,6318,3,10,-9990,0,0,8,E,8,6,E,8,15.3,E,8,8.5,E,8,64,E,8,1005,E,8,298,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.684,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,376,1404,169,3,10,249,3,20,102,3,10,18020,3,10,19149,3,20,12888,3,10,-9990,0,0,8,E,8,6,E,8,16.2,E,8,7.6,E,8,57,E,8,1005,E,8,95,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.579,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,522,1408,338,3,10,625,3,20,107,3,10,35517,3,10,53850,3,20,15541,3,10,-9990,0,0,3,E,8,2,E,8,17.4,E,8,7.8,E,8,53,E,8,1005,E,8,181,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.607,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,608,1410,516,3,10,833,3,20,157,3,10,53434,3,10,74224,3,20,21419,3,10,-9990,0,0,3,E,8,2,E,8,18.9,E,8,8.2,E,8,50,E,8,1005,E,8,190,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.643,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,628,1412,443,3,10,669,3,20,145,3,10,46315,3,10,58662,3,20,20210,3,10,-9990,0,0,4,E,8,3,E,8,19.6,E,8,8.1,E,8,47,E,8,1005,E,8,58,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.633,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,581,1414,124,3,10,0,3,20,124,3,10,14186,3,10,0,3,20,14186,3,10,-9990,0,0,10,E,8,9,E,8,18.9,E,8,8.3,E,8,50,E,8,1005,E,8,100,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.661,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,470,1416,25,3,10,0,3,20,25,3,10,3205,3,10,0,3,20,3205,3,10,-9990,0,0,10,E,8,9,E,8,18.0,E,8,8.9,E,8,55,E,8,1005,E,8,176,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.730,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,302,1422,14,3,10,0,3,20,14,3,10,1715,3,10,3,3,20,1714,3,10,-9990,0,0,8,E,8,6,E,8,17.2,E,8,9.2,E,8,59,E,8,1005,E,8,36,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.772,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,87,623,3,3,10,0,3,20,3,3,10,362,3,10,7,3,20,361,3,10,-9990,0,0,8,E,8,6,E,8,16.5,E,8,9.3,E,8,62,E,8,1005,E,8,155,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.783,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,16.1,E,8,9.1,E,8,63,E,8,1005,E,8,97,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.751,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,15.8,E,8,9.1,E,8,65,E,8,1005,E,8,236,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.760,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,15.4,E,8,9.0,E,8,66,E,8,1005,E,8,249,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.745,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,15.0,E,8,8.5,E,8,65,E,8,1005,E,8,165,E,8,1.6,E,8,-9990,0,0,-9990,0,0,1.680,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,14.7,E,8,7.2,E,8,61,E,8,1004,E,8,265,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.535,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,14.3,E,8,7.6,E,8,64,E,8,1004,E,8,261,E,8,0.9,E,8,-9990,0,0,-9990,0,0,1.574,E,8,0.061,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,14.0,E,8,7.5,E,8,64,E,8,1004,E,8,292,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.563,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,13.8,E,8,7.0,E,8,63,E,8,1004,E,8,265,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.514,E,8,0.057,E,8,0.20,E,8,0,-9990,0,0
