85320,SINTRA\GRANJA,,0,38.830,-9.330, 130
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,13.2,E,8,12.1,E,8,93,E,8,992,E,8,218,E,8,1.6,E,8,-9990,0,0,-9990,0,0,2.160,E,8,0.085,E,8,0.20,E,8,11,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,14.8,E,8,11.8,E,8,82,E,8,992,E,8,252,E,8,1.1,E,8,-9990,0,0,-9990,0,0,2.123,E,8,0.085,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,14.5,E,8,11.6,E,8,82,E,8,992,E,8,294,E,8,0.9,E,8,-9990,0,0,-9990,0,0,2.086,E,8,0.085,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,14.5,E,8,11.5,E,8,82,E,8,992,E,8,310,E,8,1.1,E,8,-9990,0,0,-9990,0,0,2.082,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,14.4,E,8,11.5,E,8,82,E,8,992,E,8,263,E,8,1.1,E,8,-9990,0,0,-9990,0,0,2.072,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,14.4,E,8,10.0,E,8,75,E,8,992,E,8,252,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.865,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,14.2,E,8,11.3,E,8,82,E,8,992,E,8,276,E,8,1.0,E,8,-9990,0,0,-9990,0,0,2.044,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,14.2,E,8,9.4,E,8,73,E,8,992,E,8,282,E,8,1.9,E,8,-9990,0,0,-9990,0,0,1.789,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,116,701,13,3,10,0,3,20,13,3,10,1674,3,10,1,3,20,1674,3,10,-9990,0,0,10,E,8,9,E,8,14.5,E,8,9.7,E,8,73,E,8,992,E,8,259,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.828,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,336,1412,86,3,10,4,3,20,85,3,10,9545,3,10,282,3,20,9478,3,10,-9990,0,0,10,E,8,9,E,8,15.3,E,8,12.3,E,8,82,E,8,992,E,8,298,E,8,3.5,E,8,-9990,0,0,-9990,0,0,2.192,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
