82840,Valencia Airp.,,1,39.500,-0.467,  62
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,8,E,8,6,E,8,12.2,E,8,5.7,E,8,65,E,8,1007,E,8,218,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.385,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,8,E,8,6,E,8,12.1,E,8,5.1,E,8,62,E,8,1007,E,8,252,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.327,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,11.9,E,8,5.3,E,8,64,E,8,1007,E,8,294,E,8,0.9,E,8,-9990,0,0,-9990,0,0,1.346,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,11.9,E,8,5.5,E,8,65,E,8,1007,E,8,310,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.360,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,11.8,E,8,5.3,E,8,64,E,8,1007,E,8,263,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.341,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,11.8,E,8,5.1,E,8,63,E,8,1007,E,8,252,E,8,1.4,E,8,-9990,0,0,-9990,0,0,1.326,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,11.8,E,8,5.5,E,8,65,E,8,1007,E,8,276,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.367,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,11.8,E,8,6.4,E,8,69,E,8,1007,E,8,282,E,8,1.8,E,8,-9990,0,0,-9990,0,0,1.449,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,6,3,0,0,3,0,6,3,0,776,3,0,0,3,0,775,3,0,-9990,0,0,8,E,8,6,E,8,11.5,E,8,6.1,E,8,69,E,8,1009,E,8,84,E,8,0.7,E,8,-9990,0,0,-9990,0,0,1.423,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,0,0,529,3,0,925,3,0,54,3,0,57227,3,0,0,3,0,8146,3,0,-9990,0,0,0,E,8,0,E,8,13.7,E,8,7.0,E,8,64,E,8,1009,E,8,156,E,8,0.7,E,8,-9990,0,0,-9990,0,0,1.514,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,0,0,709,3,0,972,3,0,69,3,0,76100,3,0,0,3,0,9960,3,0,-9990,0,0,0,E,8,0,E,8,15.9,E,8,5.6,E,8,50,E,8,1010,E,8,98,E,8,0.5,E,8,-9990,0,0,-9990,0,0,1.368,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,0,0,837,3,0,989,3,0,82,3,0,89369,3,0,0,3,0,11435,3,0,-9990,0,0,0,E,8,0,E,8,17.9,E,8,5.4,E,8,44,E,8,1010,E,8,73,E,8,0.5,E,8,-9990,0,0,-9990,0,0,1.358,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,0,0,906,3,0,994,3,0,91,3,0,96417,3,0,0,3,0,12446,3,0,-9990,0,0,0,E,8,0,E,8,19.5,E,8,5.3,E,8,39,E,8,1010,E,8,44,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.346,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,0,0,913,3,0,996,3,0,92,3,0,97227,3,0,0,3,0,12548,3,0,-9990,0,0,0,E,8,0,E,8,20.7,E,8,5.6,E,8,37,E,8,1010,E,8,57,E,8,0.6,E,8,-9990,0,0,-9990,0,0,1.376,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,0,0,852,3,0,988,3,0,84,3,0,91003,3,0,0,3,0,11642,3,0,-9990,0,0,0,E,8,0,E,8,21.5,E,8,5.8,E,8,36,E,8,1010,E,8,44,E,8,0.7,E,8,-9990,0,0,-9990,0,0,1.392,E,8,0.107,E,8,0.20,E,8,0,-9990,0,0
