81410,Valladolid (SP),,1,41.650,-4.767, 739
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.4,E,8,8.6,E,8,88,E,8,924,E,8,218,E,8,0.7,E,8,-9990,0,0,-9990,0,0,1.688,E,8,0.088,E,8,0.20,E,8,3,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.7,E,8,8.1,E,8,84,E,8,924,E,8,207,E,8,0.4,E,8,-9990,0,0,-9990,0,0,1.632,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.4,E,8,7.7,E,8,83,E,8,924,E,8,204,E,8,0.3,E,8,-9990,0,0,-9990,0,0,1.592,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.3,E,8,6.7,E,8,78,E,8,924,E,8,265,E,8,0.5,E,8,-9990,0,0,-9990,0,0,1.488,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.2,E,8,6.5,E,8,78,E,8,924,E,8,218,E,8,0.5,E,8,-9990,0,0,-9990,0,0,1.462,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.0,E,8,6.7,E,8,80,E,8,924,E,8,207,E,8,0.8,E,8,-9990,0,0,-9990,0,0,1.481,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.9,E,8,6.4,E,8,79,E,8,924,E,8,231,E,8,0.5,E,8,-9990,0,0,-9990,0,0,1.452,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.9,E,8,6.1,E,8,77,E,8,924,E,8,192,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.422,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,3,102,0,3,10,0,3,20,0,3,10,21,3,10,5,3,20,21,3,10,-9990,0,0,10,E,8,9,E,8,9.8,E,8,6.4,E,8,79,E,8,924,E,8,214,E,8,0.8,E,8,-9990,0,0,-9990,0,0,1.454,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,147,1412,11,3,10,0,3,20,11,3,10,1370,3,10,2,3,20,1370,3,10,-9990,0,0,10,E,8,9,E,8,9.9,E,8,6.5,E,8,79,E,8,924,E,8,253,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.462,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,342,1412,30,3,10,0,3,20,30,3,10,3702,3,10,0,3,20,3702,3,10,-9990,0,0,10,E,8,9,E,8,10.1,E,8,5.6,E,8,74,E,8,924,E,8,140,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.375,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,489,1412,49,3,10,0,3,20,49,3,10,6018,3,10,0,3,20,6018,3,10,-9990,0,0,10,E,8,9,E,8,10.2,E,8,5.7,E,8,73,E,8,924,E,8,181,E,8,1.9,E,8,-9990,0,0,-9990,0,0,1.379,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,578,1412,67,3,10,0,3,20,67,3,10,8088,3,10,0,3,20,8088,3,10,-9990,0,0,10,E,8,9,E,8,10.4,E,8,5.7,E,8,73,E,8,924,E,8,190,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.387,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,603,1412,67,3,10,0,3,20,67,3,10,8211,3,10,0,3,20,8211,3,10,-9990,0,0,10,E,8,9,E,8,10.5,E,8,5.6,E,8,71,E,8,924,E,8,103,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.369,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,561,1412,60,3,10,0,3,20,60,3,10,7310,3,10,0,3,20,7310,3,10,-9990,0,0,10,E,8,9,E,8,10.5,E,8,5.7,E,8,72,E,8,924,E,8,145,E,8,1.9,E,8,-9990,0,0,-9990,0,0,1.384,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,456,1412,46,3,10,0,3,20,46,3,10,5623,3,10,0,3,20,5623,3,10,-9990,0,0,10,E,8,9,E,8,10.5,E,8,7.8,E,8,83,E,8,924,E,8,176,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.601,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,295,1412,27,3,10,0,3,20,27,3,10,3224,3,10,0,3,20,3224,3,10,-9990,0,0,10,E,8,9,E,8,10.4,E,8,7.7,E,8,83,E,8,924,E,8,81,E,8,1.9,E,8,-9990,0,0,-9990,0,0,1.589,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,86,619,4,3,10,0,3,20,4,3,10,561,3,10,9,3,20,560,3,10,-9990,0,0,10,E,8,9,E,8,10.2,E,8,7.5,E,8,83,E,8,924,E,8,155,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.567,E,8,0.088,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.8,E,8,7.8,E,8,87,E,8,924,E,8,142,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.598,E,8,0.088,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.8,E,8,7.1,E,8,83,E,8,924,E,8,191,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.523,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.4,E,8,6.8,E,8,83,E,8,925,E,8,204,E,8,1.6,E,8,-9990,0,0,-9990,0,0,1.489,E,8,0.088,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.3,E,8,6.6,E,8,83,E,8,925,E,8,120,E,8,0.7,E,8,-9990,0,0,-9990,0,0,1.473,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.1,E,8,6.4,E,8,83,E,8,925,E,8,220,E,8,0.3,E,8,-9990,0,0,-9990,0,0,1.454,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.9,E,8,6.9,E,8,87,E,8,925,E,8,216,E,8,0.3,E,8,-9990,0,0,-9990,0,0,1.499,E,8,0.088,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.3,E,8,6.3,E,8,87,E,8,925,E,8,247,E,8,0.4,E,8,-9990,0,0,-9990,0,0,1.439,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.5,E,8,4.9,E,8,83,E,8,925,E,8,220,E,8,1.9,E,8,-9990,0,0,-9990,0,0,1.307,E,8,0.082,E,8,0.20,E,8,1,-9990,0,0
01/02/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.9,E,8,5.0,E,8,87,E,8,925,E,8,190,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.313,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.6,E,8,4.6,E,8,87,E,8,925,E,8,65,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.281,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.2,E,8,4.2,E,8,87,E,8,925,E,8,142,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.249,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.8,E,8,3.9,E,8,87,E,8,925,E,8,80,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.218,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.6,E,8,3.7,E,8,87,E,8,925,E,8,142,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.198,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.3,E,8,3.4,E,8,87,E,8,925,E,8,119,E,8,0.8,E,8,-9990,0,0,-9990,0,0,1.174,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,09:00,2,101,0,3,10,0,3,20,0,3,10,20,3,10,5,3,20,20,3,10,-9990,0,0,10,E,8,9,E,8,5.2,E,8,3.3,E,8,87,E,8,926,E,8,219,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.169,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,10:00,147,1412,38,3,10,10,3,20,37,3,10,4164,3,10,0,3,20,4164,3,10,-9990,0,0,10,E,8,9,E,8,5.5,E,8,3.6,E,8,87,E,8,926,E,8,181,E,8,1.0,E,8,-9990,0,0,-9990,0,0,1.193,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,11:00,343,1412,93,3,10,8,3,20,91,3,10,10442,3,10,699,3,20,10272,3,10,-9990,0,0,10,E,8,9,E,8,6.0,E,8,3.4,E,8,84,E,8,926,E,8,192,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.176,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,12:00,490,1412,153,3,10,21,3,20,145,3,10,17092,3,10,2188,3,20,16332,3,10,-9990,0,0,10,E,8,9,E,8,6.4,E,8,3.8,E,8,84,E,8,926,E,8,211,E,8,0.7,E,8,-9990,0,0,-9990,0,0,1.214,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,13:00,580,1412,175,3,10,16,3,20,169,3,10,19791,3,10,1641,3,20,19118,3,10,-9990,0,0,10,E,8,9,E,8,6.7,E,8,3.0,E,8,77,E,8,926,E,8,221,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.148,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,14:00,604,1412,177,3,10,12,3,20,171,3,10,20009,3,10,1215,3,20,19489,3,10,-9990,0,0,10,E,8,9,E,8,7.0,E,8,3.0,E,8,76,E,8,926,E,8,151,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.147,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,15:00,563,1412,133,3,10,0,3,20,133,3,10,15195,3,10,0,3,20,15195,3,10,-9990,0,0,10,E,8,9,E,8,7.0,E,8,3.6,E,8,79,E,8,927,E,8,150,E,8,1.0,E,8,-9990,0,0,-9990,0,0,1.194,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,16:00,458,1412,106,3,10,0,3,20,106,3,10,12033,3,10,0,3,20,12033,3,10,-9990,0,0,10,E,8,9,E,8,6.9,E,8,3.8,E,8,81,E,8,927,E,8,202,E,8,1.9,E,8,-9990,0,0,-9990,0,0,1.208,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,17:00,298,1412,65,3,10,0,3,20,65,3,10,7337,3,10,0,3,20,7337,3,10,-9990,0,0,10,E,8,9,E,8,6.6,E,8,3.8,E,8,82,E,8,927,E,8,156,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.208,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,18:00,89,630,4,3,10,0,3,20,4,3,10,567,3,10,9,3,20,566,3,10,-9990,0,0,10,E,8,9,E,8,6.2,E,8,4.2,E,8,87,E,8,928,E,8,231,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.246,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
