85600,Viseu,,0,40.710,-7.880, 644
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.2,E,8,8.9,E,8,92,E,8,934,E,8,128,E,8,1.9,E,8,-9990,0,0,-9990,0,0,1.732,E,8,0.053,E,8,0.20,E,8,18,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.7,E,8,9.0,E,8,83,E,8,934,E,8,252,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.744,E,8,0.053,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.4,E,8,8.7,E,8,83,E,8,934,E,8,249,E,8,1.0,E,8,-9990,0,0,-9990,0,0,1.709,E,8,0.053,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.4,E,8,7.9,E,8,79,E,8,934,E,8,310,E,8,1.4,E,8,-9990,0,0,-9990,0,0,1.617,E,8,0.053,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.4,E,8,7.9,E,8,79,E,8,934,E,8,263,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.611,E,8,0.053,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.3,E,8,7.8,E,8,79,E,8,934,E,8,252,E,8,1.6,E,8,-9990,0,0,-9990,0,0,1.603,E,8,0.053,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.1,E,8,7.6,E,8,79,E,8,934,E,8,276,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.584,E,8,0.053,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,11.1,E,8,5.6,E,8,69,E,8,934,E,8,237,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.374,E,8,0.053,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,111,701,7,3,10,0,3,20,7,3,10,870,3,10,9,3,20,869,3,10,-9990,0,0,10,E,8,9,E,8,11.2,E,8,5.9,E,8,70,E,8,934,E,8,169,E,8,1.6,E,8,-9990,0,0,-9990,0,0,1.403,E,8,0.053,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,322,1412,43,3,10,0,3,20,43,3,10,5064,3,10,0,3,20,5064,3,10,-9990,0,0,10,E,8,9,E,8,11.5,E,8,8.0,E,8,79,E,8,934,E,8,298,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.619,E,8,0.053,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,482,1412,66,3,10,0,3,20,66,3,10,7886,3,10,0,3,20,7886,3,10,-9990,0,0,10,E,8,9,E,8,11.6,E,8,8.1,E,8,79,E,8,934,E,8,95,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.635,E,8,0.053,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,12:00,585,1412,89,3,10,0,3,20,89,3,10,10541,3,10,0,3,20,10541,3,10,-9990,0,0,10,E,8,9,E,8,11.9,E,8,8.4,E,8,79,E,8,934,E,8,136,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.671,E,8,0.053,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,624,1412,116,3,10,0,3,20,116,3,10,13580,3,10,0,3,20,13580,3,10,-9990,0,0,10,E,8,9,E,8,12.1,E,8,5.3,E,8,63,E,8,934,E,8,145,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.347,E,8,0.053,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,595,1412,103,3,10,0,3,20,103,3,10,12099,3,10,0,3,20,12099,3,10,-9990,0,0,10,E,8,9,E,8,12.2,E,8,8.6,E,8,79,E,8,934,E,8,58,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.698,E,8,0.053,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,502,1412,79,3,10,0,3,20,79,3,10,9263,3,10,0,3,20,9263,3,10,-9990,0,0,10,E,8,9,E,8,12.2,E,8,8.6,E,8,79,E,8,934,E,8,100,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.700,E,8,0.053,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,349,1412,49,3,10,0,3,20,49,3,10,5799,3,10,0,3,20,5799,3,10,-9990,0,0,10,E,8,9,E,8,11.9,E,8,9.2,E,8,83,E,8,934,E,8,131,E,8,4.3,E,8,-9990,0,0,-9990,0,0,1.766,E,8,0.053,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,17:00,148,1412,17,3,10,0,3,20,17,3,10,2011,3,10,0,3,20,2011,3,10,-9990,0,0,10,E,8,9,E,8,11.5,E,8,8.8,E,8,83,E,8,935,E,8,81,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.716,E,8,0.053,E,8,0.20,E,8,2,-9990,0,0
01/01/2005,18:00,2,97,0,3,10,0,3,20,0,3,10,26,3,10,6,3,20,26,3,10,-9990,0,0,10,E,8,9,E,8,10.9,E,8,8.2,E,8,83,E,8,935,E,8,110,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.644,E,8,0.053,E,8,0.20,E,8,4,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.8,E,8,8.2,E,8,90,E,8,935,E,8,97,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.648,E,8,0.053,E,8,0.20,E,8,9,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.7,E,8,8.0,E,8,83,E,8,935,E,8,146,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.625,E,8,0.053,E,8,0.20,E,8,3,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.8,E,8,8.2,E,8,90,E,8,935,E,8,159,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.645,E,8,0.053,E,8,0.20,E,8,6,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.1,E,8,7.4,E,8,83,E,8,935,E,8,75,E,8,1.8,E,8,-9990,0,0,-9990,0,0,1.555,E,8,0.053,E,8,0.20,E,8,3,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.1,E,8,7.4,E,8,83,E,8,936,E,8,220,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.563,E,8,0.053,E,8,0.20,E,8,2,-9990,0,0
01/01/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.2,E,8,7.6,E,8,83,E,8,936,E,8,261,E,8,1.0,E,8,-9990,0,0,-9990,0,0,1.575,E,8,0.053,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.9,E,8,6.5,E,8,79,E,8,936,E,8,292,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.460,E,8,0.049,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.4,E,8,6.8,E,8,83,E,8,936,E,8,220,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.491,E,8,0.049,E,8,0.20,E,8,1,-9990,0,0
01/02/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.3,E,8,5.9,E,8,79,E,8,936,E,8,145,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.400,E,8,0.049,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.2,E,8,6.6,E,8,83,E,8,936,E,8,65,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.470,E,8,0.049,E,8,0.20,E,8,0,-9990,0,0
