81600,Zaragoza Airp.,,1,41.667,-1.017, 258
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,12.1,E,8,7.0,E,8,71,E,8,986,E,8,308,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.512,E,8,0.067,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,11.6,E,8,6.9,E,8,73,E,8,986,E,8,297,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.506,E,8,0.067,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,11.0,E,8,6.4,E,8,73,E,8,986,E,8,294,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.448,E,8,0.067,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,10.7,E,8,6.1,E,8,73,E,8,986,E,8,310,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.427,E,8,0.067,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,10.4,E,8,5.8,E,8,73,E,8,986,E,8,308,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.397,E,8,0.067,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,10.1,E,8,6.0,E,8,76,E,8,986,E,8,297,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.416,E,8,0.067,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,9.9,E,8,5.7,E,8,75,E,8,986,E,8,321,E,8,1.9,E,8,-9990,0,0,-9990,0,0,1.384,E,8,0.067,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,9.7,E,8,5.4,E,8,74,E,8,986,E,8,282,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.351,E,8,0.067,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,18,273,2,3,10,0,3,20,2,3,10,319,3,10,12,3,20,318,3,10,-9990,0,0,0,E,8,0,E,8,9.7,E,8,5.7,E,8,76,E,8,986,E,8,304,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.387,E,8,0.067,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,199,1412,107,3,10,363,3,20,56,3,10,11147,3,10,22879,3,20,7917,3,10,-9990,0,0,0,E,8,0,E,8,11.3,E,8,6.1,E,8,70,E,8,986,E,8,343,E,8,4.1,E,8,-9990,0,0,-9990,0,0,1.426,E,8,0.067,E,8,0.20,E,8,0,-9990,0,0
