66310,Bern-Liebefeld,,1,46.928,7.420, 565
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,6.8,E,8,2.4,E,8,73,E,8,949,E,8,218,E,8,0.6,E,8,-9990,0,0,-9990,0,0,1.096,E,8,0.099,E,8,0.27,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,6.6,E,8,2.4,E,8,74,E,8,949,E,8,207,E,8,0.2,E,8,-9990,0,0,-9990,0,0,1.097,E,8,0.099,E,8,0.26,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,6.4,E,8,1.9,E,8,73,E,8,949,E,8,294,E,8,0.2,E,8,-9990,0,0,-9990,0,0,1.061,E,8,0.099,E,8,0.26,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,6.3,E,8,1.7,E,8,72,E,8,949,E,8,310,E,8,0.5,E,8,-9990,0,0,-9990,0,0,1.048,E,8,0.099,E,8,0.25,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,6.2,E,8,1.5,E,8,71,E,8,949,E,8,263,E,8,0.5,E,8,-9990,0,0,-9990,0,0,1.030,E,8,0.099,E,8,0.25,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,6.2,E,8,1.7,E,8,73,E,8,949,E,8,252,E,8,0.9,E,8,-9990,0,0,-9990,0,0,1.047,E,8,0.099,E,8,0.24,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,6.1,E,8,1.4,E,8,72,E,8,949,E,8,231,E,8,0.4,E,8,-9990,0,0,-9990,0,0,1.026,E,8,0.099,E,8,0.24,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,6.1,E,8,1.1,E,8,70,E,8,949,E,8,282,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.004,E,8,0.099,E,8,0.23,E,8,0,-9990,0,0
01/01/2005,09:00,39,440,6,3,10,0,3,20,6,3,10,752,3,10,10,3,20,751,3,10,-9990,0,0,9,E,8,8,E,8,6.3,E,8,1.5,E,8,71,E,8,949,E,8,214,E,8,0.8,E,8,-9990,0,0,-9990,0,0,1.033,E,8,0.099,E,8,0.22,E,8,0,-9990,0,0
01/01/2005,10:00,214,1412,88,3,10,120,3,20,70,3,10,9607,3,10,8659,3,20,8292,3,10,-9990,0,0,9,E,8,8,E,8,7.9,E,8,1.9,E,8,66,E,8,949,E,8,253,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.060,E,8,0.099,E,8,0.21,E,8,0,-9990,0,0
01/01/2005,11:00,358,1412,147,3,10,136,3,20,113,3,10,16056,3,10,11193,3,20,13218,3,10,-9990,0,0,9,E,8,8,E,8,9.1,E,8,1.1,E,8,57,E,8,949,E,8,140,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.000,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,450,1412,184,3,10,118,3,20,146,3,10,20087,3,10,9464,3,20,17073,3,10,-9990,0,0,9,E,8,8,E,8,10.1,E,8,1.2,E,8,54,E,8,949,E,8,226,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.011,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,483,1412,181,3,10,79,3,20,154,3,10,19931,3,10,7341,3,20,17419,3,10,-9990,0,0,10,E,8,9,E,8,10.7,E,8,1.4,E,8,52,E,8,949,E,8,190,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.022,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,456,1412,185,3,10,118,3,20,147,3,10,20250,3,10,9486,3,20,17185,3,10,-9990,0,0,9,E,8,8,E,8,11.1,E,8,1.2,E,8,50,E,8,949,E,8,148,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.009,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,371,1412,149,3,10,105,3,20,121,3,10,16210,3,10,7691,3,20,14191,3,10,-9990,0,0,9,E,8,8,E,8,11.2,E,8,1.4,E,8,51,E,8,949,E,8,190,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.024,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,232,1412,81,3,10,111,3,20,63,3,10,8944,3,10,8472,3,20,7550,3,10,-9990,0,0,9,E,8,8,E,8,10.9,E,8,1.9,E,8,54,E,8,949,E,8,221,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.059,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,54,519,3,3,10,0,3,20,3,3,10,373,3,10,10,3,20,372,3,10,-9990,0,0,9,E,8,8,E,8,10.0,E,8,2.1,E,8,58,E,8,949,E,8,126,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.072,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.4,E,8,2.0,E,8,60,E,8,949,E,8,200,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.070,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,8.8,E,8,1.6,E,8,60,E,8,948,E,8,187,E,8,0.8,E,8,-9990,0,0,-9990,0,0,1.040,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,8.3,E,8,1.6,E,8,63,E,8,948,E,8,236,E,8,0.9,E,8,-9990,0,0,-9990,0,0,1.034,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,7.7,E,8,1.3,E,8,64,E,8,948,E,8,204,E,8,1.0,E,8,-9990,0,0,-9990,0,0,1.015,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,7.1,E,8,0.6,E,8,63,E,8,948,E,8,165,E,8,0.3,E,8,-9990,0,0,-9990,0,0,0.969,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,6.5,E,8,-0.7,E,8,60,E,8,948,E,8,220,E,8,0.2,E,8,-9990,0,0,-9990,0,0,0.881,E,8,0.099,E,8,0.20,E,8,0,-9990,0,0
