163100,Palinuro,,1,40.017,15.283, 185
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,12.8,E,8,9.6,E,8,81,E,8,990,E,8,263,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.822,E,8,0.077,E,8,0.20,E,8,2,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,13.0,E,8,5.9,E,8,62,E,8,990,E,8,297,E,8,1.8,E,8,-9990,0,0,-9990,0,0,1.405,E,8,0.077,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,12.8,E,8,5.4,E,8,60,E,8,990,E,8,294,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.352,E,8,0.077,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,12.7,E,8,5.2,E,8,60,E,8,990,E,8,310,E,8,1.8,E,8,-9990,0,0,-9990,0,0,1.334,E,8,0.077,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,12.6,E,8,4.9,E,8,59,E,8,990,E,8,308,E,8,1.8,E,8,-9990,0,0,-9990,0,0,1.306,E,8,0.077,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,12.6,E,8,5.2,E,8,61,E,8,990,E,8,297,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.335,E,8,0.077,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,12.5,E,8,4.8,E,8,59,E,8,990,E,8,321,E,8,1.6,E,8,-9990,0,0,-9990,0,0,1.302,E,8,0.077,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,38,396,4,3,10,0,3,20,4,3,10,522,3,10,10,3,20,521,3,10,-9990,0,0,10,E,8,9,E,8,12.6,E,8,4.3,E,8,57,E,8,990,E,8,282,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.255,E,8,0.077,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,244,1412,73,3,10,48,3,20,65,3,10,8106,3,10,3886,3,20,7435,3,10,-9990,0,0,10,E,8,9,E,8,13.3,E,8,4.6,E,8,55,E,8,990,E,8,259,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.281,E,8,0.077,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,429,1412,151,3,10,54,3,20,135,3,10,16681,3,10,4610,3,20,15280,3,10,-9990,0,0,10,E,8,9,E,8,14.1,E,8,4.7,E,8,53,E,8,990,E,8,343,E,8,3.9,E,8,-9990,0,0,-9990,0,0,1.293,E,8,0.077,E,8,0.20,E,8,0,-9990,0,0
