162610,Amendola,,1,41.533,15.717,  56
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.7,E,8,8.5,E,8,87,E,8,1005,E,8,263,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.685,E,8,0.121,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.6,E,8,8.0,E,8,84,E,8,1005,E,8,252,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.620,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.5,E,8,7.6,E,8,82,E,8,1005,E,8,249,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.575,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.4,E,8,7.4,E,8,82,E,8,1005,E,8,310,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.560,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.4,E,8,7.2,E,8,81,E,8,1005,E,8,263,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.539,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.4,E,8,7.4,E,8,82,E,8,1005,E,8,252,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.560,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,10.4,E,8,7.2,E,8,81,E,8,1005,E,8,276,E,8,1.6,E,8,-9990,0,0,-9990,0,0,1.536,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,30,359,10,3,10,0,3,20,10,3,10,1217,3,10,0,3,20,1217,3,10,-9990,0,0,10,E,8,9,E,8,10.7,E,8,7.1,E,8,78,E,8,1005,E,8,237,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.524,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,225,1412,57,3,10,5,3,20,57,3,10,6359,3,10,434,3,20,6290,3,10,-9990,0,0,10,E,8,9,E,8,11.4,E,8,7.6,E,8,77,E,8,1005,E,8,259,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.575,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,405,1412,137,3,10,65,3,20,118,3,10,15172,3,10,5844,3,20,13497,3,10,-9990,0,0,10,E,8,9,E,8,12.4,E,8,8.0,E,8,74,E,8,1005,E,8,298,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.625,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,532,1412,294,3,10,386,3,20,148,3,10,30843,3,10,26528,3,20,20854,3,10,-9990,0,0,6,E,8,5,E,8,14.0,E,8,7.7,E,8,66,E,8,1005,E,8,185,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.586,E,8,0.121,E,8,0.20,E,8,0,-9990,0,0
