161340,Cimone,,1,44.200,10.700,2173
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,4.7,E,8,-4.7,E,8,50,E,8,780,E,8,83,E,8,5.6,E,8,-9990,0,0,-9990,0,0,0.666,E,8,0.228,E,8,0.73,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,4.1,E,8,-4.6,E,8,53,E,8,780,E,8,72,E,8,4.9,E,8,-9990,0,0,-9990,0,0,0.674,E,8,0.228,E,8,0.72,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,3.4,E,8,-5.1,E,8,53,E,8,780,E,8,114,E,8,4.4,E,8,-9990,0,0,-9990,0,0,0.648,E,8,0.228,E,8,0.70,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,3.1,E,8,-5.3,E,8,54,E,8,780,E,8,220,E,8,4.7,E,8,-9990,0,0,-9990,0,0,0.640,E,8,0.228,E,8,0.69,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,2.7,E,8,-5.6,E,8,54,E,8,780,E,8,128,E,8,4.7,E,8,-9990,0,0,-9990,0,0,0.627,E,8,0.228,E,8,0.68,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,2.5,E,8,-5.2,E,8,57,E,8,780,E,8,117,E,8,5.2,E,8,-9990,0,0,-9990,0,0,0.645,E,8,0.228,E,8,0.66,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,2.3,E,8,-5.6,E,8,56,E,8,780,E,8,96,E,8,4.5,E,8,-9990,0,0,-9990,0,0,0.628,E,8,0.228,E,8,0.65,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,4,E,8,3,E,8,2.2,E,8,-6.0,E,8,54,E,8,780,E,8,147,E,8,5.5,E,8,-9990,0,0,-9990,0,0,0.609,E,8,0.228,E,8,0.64,E,8,0,-9990,0,0
01/01/2005,09:00,114,1412,52,3,10,312,3,20,27,3,10,5426,3,10,13885,3,20,4302,3,10,-9990,0,0,4,E,8,3,E,8,2.5,E,8,-5.8,E,8,54,E,8,780,E,8,79,E,8,5.0,E,8,-9990,0,0,-9990,0,0,0.619,E,8,0.228,E,8,0.63,E,8,0,-9990,0,0
01/01/2005,10:00,301,1412,172,3,10,574,3,20,50,3,10,18298,3,10,48214,3,20,8030,3,10,-9990,0,0,4,E,8,3,E,8,2.9,E,8,-5.8,E,8,53,E,8,780,E,8,118,E,8,6.8,E,8,-9990,0,0,-9990,0,0,0.620,E,8,0.228,E,8,0.62,E,8,0,-9990,0,0
