164530,Gela,,1,37.083,14.217,  33
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,14.2,E,8,13.0,E,8,92,E,8,1003,E,8,263,E,8,1.8,E,8,-9990,0,0,-9990,0,0,2.300,E,8,0.126,E,8,0.20,E,8,16,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,15.8,E,8,13.3,E,8,85,E,8,1003,E,8,297,E,8,1.1,E,8,-9990,0,0,-9990,0,0,2.349,E,8,0.126,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,15.5,E,8,13.0,E,8,85,E,8,1003,E,8,294,E,8,0.9,E,8,-9990,0,0,-9990,0,0,2.304,E,8,0.126,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,15.5,E,8,12.3,E,8,81,E,8,1003,E,8,310,E,8,1.3,E,8,-9990,0,0,-9990,0,0,2.188,E,8,0.126,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,15.4,E,8,12.2,E,8,81,E,8,1003,E,8,308,E,8,1.1,E,8,-9990,0,0,-9990,0,0,2.180,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,15.4,E,8,12.2,E,8,81,E,8,1003,E,8,297,E,8,1.5,E,8,-9990,0,0,-9990,0,0,2.175,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,15.2,E,8,12.0,E,8,81,E,8,1003,E,8,321,E,8,1.0,E,8,-9990,0,0,-9990,0,0,2.153,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,51,449,3,3,10,0,3,20,3,3,10,425,3,10,9,3,20,424,3,10,-9990,0,0,10,E,8,9,E,8,15.4,E,8,9.9,E,8,70,E,8,1003,E,8,282,E,8,1.9,E,8,-9990,0,0,-9990,0,0,1.859,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,275,1412,55,3,10,0,3,20,55,3,10,6197,3,10,0,3,20,6197,3,10,-9990,0,0,10,E,8,9,E,8,15.8,E,8,10.3,E,8,70,E,8,1003,E,8,259,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.904,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,472,1412,101,3,10,0,3,20,101,3,10,11471,3,10,0,3,20,11471,3,10,-9990,0,0,10,E,8,9,E,8,16.1,E,8,12.9,E,8,81,E,8,1003,E,8,343,E,8,3.5,E,8,-9990,0,0,-9990,0,0,2.285,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,613,1412,145,3,10,0,3,20,145,3,10,16487,3,10,0,3,20,16487,3,10,-9990,0,0,10,E,8,9,E,8,16.4,E,8,13.2,E,8,81,E,8,1003,E,8,95,E,8,2.6,E,8,-9990,0,0,-9990,0,0,2.333,E,8,0.126,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,12:00,690,1412,160,3,10,1,3,20,160,3,10,18366,3,10,0,3,20,18366,3,10,-9990,0,0,10,E,8,9,E,8,16.8,E,8,10.1,E,8,64,E,8,1003,E,8,316,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.876,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,697,1412,157,3,10,0,3,20,157,3,10,18095,3,10,0,3,20,18095,3,10,-9990,0,0,10,E,8,9,E,8,17.0,E,8,9.8,E,8,63,E,8,1003,E,8,280,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.848,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,634,1412,123,3,10,0,3,20,123,3,10,14212,3,10,0,3,20,14212,3,10,-9990,0,0,10,E,8,9,E,8,17.0,E,8,13.1,E,8,78,E,8,1003,E,8,148,E,8,3.3,E,8,-9990,0,0,-9990,0,0,2.315,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,505,1412,94,3,10,0,3,20,94,3,10,10864,3,10,0,3,20,10864,3,10,-9990,0,0,10,E,8,9,E,8,16.9,E,8,13.7,E,8,81,E,8,1003,E,8,145,E,8,2.6,E,8,-9990,0,0,-9990,0,0,2.415,E,8,0.126,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,319,1412,55,3,10,0,3,20,55,3,10,6253,3,10,0,3,20,6253,3,10,-9990,0,0,10,E,8,9,E,8,16.6,E,8,13.4,E,8,81,E,8,1003,E,8,311,E,8,4.2,E,8,-9990,0,0,-9990,0,0,2.366,E,8,0.126,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,17:00,88,595,4,3,10,0,3,20,4,3,10,501,3,10,8,3,20,500,3,10,-9990,0,0,10,E,8,9,E,8,16.1,E,8,13.6,E,8,85,E,8,1004,E,8,81,E,8,2.9,E,8,-9990,0,0,-9990,0,0,2.411,E,8,0.126,E,8,0.20,E,8,2,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,15.5,E,8,13.0,E,8,85,E,8,1004,E,8,290,E,8,3.3,E,8,-9990,0,0,-9990,0,0,2.308,E,8,0.126,E,8,0.20,E,8,4,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,14.5,E,8,12.7,E,8,89,E,8,1004,E,8,142,E,8,2.4,E,8,-9990,0,0,-9990,0,0,2.261,E,8,0.126,E,8,0.20,E,8,8,-9990,0,0
