67500,Guetsch,,1,46.654,8.616,2287
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,1.5,E,8,-7.6,E,8,51,E,8,768,E,8,173,E,8,4.5,E,8,-9990,0,0,-9990,0,0,0.546,E,8,0.057,E,8,0.73,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,1.3,E,8,-7.5,E,8,52,E,8,768,E,8,207,E,8,3.9,E,8,-9990,0,0,-9990,0,0,0.550,E,8,0.057,E,8,0.72,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,1.1,E,8,-8.1,E,8,50,E,8,768,E,8,249,E,8,3.5,E,8,-9990,0,0,-9990,0,0,0.526,E,8,0.057,E,8,0.70,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,1.1,E,8,-8.3,E,8,49,E,8,768,E,8,265,E,8,3.9,E,8,-9990,0,0,-9990,0,0,0.518,E,8,0.057,E,8,0.69,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,1.0,E,8,-8.7,E,8,48,E,8,768,E,8,218,E,8,3.8,E,8,-9990,0,0,-9990,0,0,0.506,E,8,0.057,E,8,0.68,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,0.9,E,8,-8.3,E,8,50,E,8,768,E,8,207,E,8,4.0,E,8,-9990,0,0,-9990,0,0,0.520,E,8,0.057,E,8,0.66,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,0.9,E,8,-8.7,E,8,49,E,8,768,E,8,231,E,8,3.6,E,8,-9990,0,0,-9990,0,0,0.505,E,8,0.057,E,8,0.65,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,0.8,E,8,-9.1,E,8,47,E,8,768,E,8,237,E,8,4.5,E,8,-9990,0,0,-9990,0,0,0.489,E,8,0.057,E,8,0.64,E,8,0,-9990,0,0
01/01/2005,09:00,53,511,7,3,10,0,3,20,7,3,10,927,3,10,12,3,20,926,3,10,-9990,0,0,6,E,8,5,E,8,1.0,E,8,-8.6,E,8,48,E,8,768,E,8,214,E,8,4.0,E,8,-9990,0,0,-9990,0,0,0.507,E,8,0.057,E,8,0.63,E,8,0,-9990,0,0
01/01/2005,10:00,232,1412,130,3,10,328,3,20,76,3,10,13548,3,10,18561,3,20,10491,3,10,-9990,0,0,6,E,8,5,E,8,2.0,E,8,-8.8,E,8,45,E,8,768,E,8,253,E,8,5.6,E,8,-9990,0,0,-9990,0,0,0.502,E,8,0.057,E,8,0.62,E,8,0,-9990,0,0
01/01/2005,11:00,373,1412,213,3,10,588,3,20,57,3,10,22743,3,10,51133,3,20,9234,3,10,-9990,0,0,0,E,8,0,E,8,2.7,E,8,-10.4,E,8,37,E,8,768,E,8,140,E,8,5.0,E,8,-9990,0,0,-9990,0,0,0.447,E,8,0.057,E,8,0.61,E,8,0,-9990,0,0
01/01/2005,12:00,461,1412,282,3,10,669,3,20,64,3,10,30069,3,10,61424,3,20,10027,3,10,-9990,0,0,0,E,8,0,E,8,3.4,E,8,-10.6,E,8,35,E,8,768,E,8,181,E,8,4.8,E,8,-9990,0,0,-9990,0,0,0.443,E,8,0.057,E,8,0.60,E,8,0,-9990,0,0
01/01/2005,13:00,489,1412,317,3,10,758,3,20,54,3,10,34599,3,10,75048,3,20,8577,3,10,-9990,0,0,0,E,8,0,E,8,3.9,E,8,-10.6,E,8,33,E,8,768,E,8,145,E,8,5.2,E,8,-9990,0,0,-9990,0,0,0.441,E,8,0.057,E,8,0.59,E,8,0,-9990,0,0
01/01/2005,14:00,458,1412,290,3,10,698,3,20,64,3,10,30872,3,10,64108,3,20,10091,3,10,-9990,0,0,0,E,8,0,E,8,4.2,E,8,-11.0,E,8,32,E,8,768,E,8,103,E,8,5.6,E,8,-9990,0,0,-9990,0,0,0.428,E,8,0.057,E,8,0.58,E,8,0,-9990,0,0
01/01/2005,15:00,367,1412,255,3,10,715,3,20,69,3,10,26881,3,10,62128,3,20,10725,3,10,-9990,0,0,0,E,8,0,E,8,4.4,E,8,-10.9,E,8,32,E,8,768,E,8,145,E,8,5.2,E,8,-9990,0,0,-9990,0,0,0.432,E,8,0.057,E,8,0.58,E,8,0,-9990,0,0
01/01/2005,16:00,224,1412,129,3,10,338,3,20,76,3,10,13375,3,10,19305,3,20,10308,3,10,-9990,0,0,6,E,8,5,E,8,4.1,E,8,-10.3,E,8,34,E,8,767,E,8,176,E,8,6.7,E,8,-9990,0,0,-9990,0,0,0.453,E,8,0.057,E,8,0.57,E,8,0,-9990,0,0
01/01/2005,17:00,46,475,9,3,10,0,3,20,9,3,10,1076,3,10,11,3,20,1075,3,10,-9990,0,0,8,E,8,6,E,8,3.6,E,8,-9.9,E,8,36,E,8,767,E,8,81,E,8,5.5,E,8,-9990,0,0,-9990,0,0,0.465,E,8,0.057,E,8,0.56,E,8,0,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,3.2,E,8,-9.8,E,8,37,E,8,766,E,8,155,E,8,5.9,E,8,-9990,0,0,-9990,0,0,0.466,E,8,0.057,E,8,0.55,E,8,0,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,2.7,E,8,-5.1,E,8,56,E,8,766,E,8,142,E,8,5.2,E,8,-9990,0,0,-9990,0,0,0.650,E,8,0.057,E,8,0.55,E,8,1,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,2.5,E,8,-1.5,E,8,75,E,8,766,E,8,146,E,8,5.2,E,8,-9990,0,0,-9990,0,0,0.837,E,8,0.057,E,8,0.54,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,2.0,E,8,-3.0,E,8,69,E,8,765,E,8,159,E,8,5.5,E,8,-9990,0,0,-9990,0,0,0.754,E,8,0.057,E,8,0.54,E,8,0,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,1.7,E,8,-2.2,E,8,75,E,8,765,E,8,120,E,8,4.5,E,8,-9990,0,0,-9990,0,0,0.793,E,8,0.057,E,8,0.53,E,8,0,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,1.3,E,8,-2.6,E,8,75,E,8,765,E,8,220,E,8,3.9,E,8,-9990,0,0,-9990,0,0,0.772,E,8,0.057,E,8,0.52,E,8,0,-9990,0,0
01/01/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,0.9,E,8,-3.0,E,8,75,E,8,764,E,8,216,E,8,3.6,E,8,-9990,0,0,-9990,0,0,0.752,E,8,0.057,E,8,0.52,E,8,0,-9990,0,0
01/02/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,0.3,E,8,-3.6,E,8,75,E,8,764,E,8,247,E,8,3.8,E,8,-9990,0,0,-9990,0,0,0.722,E,8,0.053,E,8,0.73,E,8,0,-9990,0,0
01/02/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,-0.6,E,8,-5.5,E,8,69,E,8,763,E,8,220,E,8,5.0,E,8,-9990,0,0,-9990,0,0,0.632,E,8,0.053,E,8,0.73,E,8,0,-9990,0,0
01/02/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,-1.1,E,8,-6.0,E,8,69,E,8,763,E,8,145,E,8,6.5,E,8,-9990,0,0,-9990,0,0,0.609,E,8,0.053,E,8,0.73,E,8,0,-9990,0,0
01/02/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,-1.4,E,8,-5.3,E,8,75,E,8,763,E,8,65,E,8,5.9,E,8,-9990,0,0,-9990,0,0,0.641,E,8,0.053,E,8,0.72,E,8,0,-9990,0,0
01/02/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,-1.8,E,8,-5.6,E,8,75,E,8,762,E,8,142,E,8,6.7,E,8,-9990,0,0,-9990,0,0,0.625,E,8,0.053,E,8,0.70,E,8,0,-9990,0,0
01/02/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,-2.2,E,8,-6.0,E,8,75,E,8,762,E,8,80,E,8,5.9,E,8,-9990,0,0,-9990,0,0,0.609,E,8,0.053,E,8,0.69,E,8,0,-9990,0,0
