110350,Wien-Hohe Warte,,1,48.250,16.367, 209
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.4,E,8,3.7,E,8,67,E,8,989,E,8,218,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.200,E,8,0.087,E,8,0.69,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.2,E,8,3.7,E,8,68,E,8,989,E,8,252,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.204,E,8,0.087,E,8,0.67,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.1,E,8,3.2,E,8,67,E,8,989,E,8,249,E,8,1.4,E,8,-9990,0,0,-9990,0,0,1.161,E,8,0.087,E,8,0.64,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.0,E,8,3.0,E,8,66,E,8,989,E,8,265,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.146,E,8,0.087,E,8,0.62,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.9,E,8,2.7,E,8,65,E,8,989,E,8,263,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.123,E,8,0.087,E,8,0.60,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.9,E,8,3.0,E,8,66,E,8,989,E,8,252,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.146,E,8,0.087,E,8,0.57,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.9,E,8,2.7,E,8,65,E,8,989,E,8,276,E,8,1.6,E,8,-9990,0,0,-9990,0,0,1.120,E,8,0.087,E,8,0.55,E,8,0,-9990,0,0
01/01/2005,08:00,2,95,0,3,10,0,3,20,0,3,10,15,3,10,5,3,20,15,3,10,-9990,0,0,10,E,8,9,E,8,8.9,E,8,2.4,E,8,63,E,8,989,E,8,237,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.094,E,8,0.087,E,8,0.53,E,8,0,-9990,0,0
01/01/2005,09:00,121,1412,29,3,10,0,3,20,29,3,10,3202,3,10,0,3,20,3202,3,10,-9990,0,0,10,E,8,9,E,8,9.5,E,8,2.6,E,8,62,E,8,989,E,8,259,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.112,E,8,0.087,E,8,0.50,E,8,0,-9990,0,0
01/01/2005,10:00,279,1412,14,3,10,0,3,20,14,3,10,1813,3,10,3,3,20,1813,3,10,-9990,0,0,10,E,8,9,E,8,9.5,E,8,2.6,E,8,62,E,8,989,E,8,298,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.116,E,8,0.087,E,8,0.48,E,8,0,-9990,0,0
01/01/2005,11:00,390,1412,69,3,10,0,3,20,69,3,10,8004,3,10,0,3,20,8004,3,10,-9990,0,0,10,E,8,9,E,8,10.1,E,8,1.5,E,8,55,E,8,989,E,8,185,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.029,E,8,0.087,E,8,0.45,E,8,0,-9990,0,0
01/01/2005,12:00,446,1412,165,3,10,94,3,20,135,3,10,18014,3,10,6954,3,20,15816,3,10,-9990,0,0,10,E,8,9,E,8,11.1,E,8,1.5,E,8,52,E,8,989,E,8,271,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.032,E,8,0.087,E,8,0.43,E,8,0,-9990,0,0
