13161,BERGEN-FREDRIKSBER&,,1,60.383,5.317,  45
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.2,E,8,1.4,E,8,62,E,8,1007,E,8,173,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.022,E,8,0.073,E,8,0.73,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.9,E,8,1.5,E,8,63,E,8,1007,E,8,162,E,8,1.8,E,8,-9990,0,0,-9990,0,0,1.027,E,8,0.073,E,8,0.72,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.7,E,8,0.9,E,8,62,E,8,1007,E,8,204,E,8,1.5,E,8,-9990,0,0,-9990,0,0,0.988,E,8,0.073,E,8,0.70,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.5,E,8,0.7,E,8,62,E,8,1007,E,8,265,E,8,1.8,E,8,-9990,0,0,-9990,0,0,0.974,E,8,0.073,E,8,0.69,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.3,E,8,0.4,E,8,61,E,8,1007,E,8,173,E,8,1.8,E,8,-9990,0,0,-9990,0,0,0.953,E,8,0.073,E,8,0.68,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.2,E,8,0.7,E,8,63,E,8,1007,E,8,162,E,8,2.0,E,8,-9990,0,0,-9990,0,0,0.975,E,8,0.073,E,8,0.66,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.1,E,8,0.3,E,8,62,E,8,1007,E,8,186,E,8,1.7,E,8,-9990,0,0,-9990,0,0,0.951,E,8,0.073,E,8,0.65,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.0,E,8,0.0,E,8,61,E,8,1007,E,8,192,E,8,2.4,E,8,-9990,0,0,-9990,0,0,0.926,E,8,0.073,E,8,0.64,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.9,E,8,0.4,E,8,63,E,8,1007,E,8,169,E,8,2.1,E,8,-9990,0,0,-9990,0,0,0.955,E,8,0.073,E,8,0.63,E,8,0,-9990,0,0
01/01/2005,10:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,10,E,8,9,E,8,6.9,E,8,0.7,E,8,65,E,8,1007,E,8,208,E,8,3.4,E,8,-9990,0,0,-9990,0,0,0.975,E,8,0.073,E,8,0.62,E,8,0,-9990,0,0
01/01/2005,11:00,58,1412,12,3,10,0,3,20,12,3,10,1375,3,10,0,3,20,1375,3,10,-9990,0,0,10,E,8,9,E,8,7.5,E,8,-0.5,E,8,57,E,8,1007,E,8,140,E,8,2.9,E,8,-9990,0,0,-9990,0,0,0.897,E,8,0.073,E,8,0.61,E,8,0,-9990,0,0
01/01/2005,12:00,130,1412,24,3,10,0,3,20,24,3,10,2704,3,10,0,3,20,2704,3,10,-9990,0,0,10,E,8,9,E,8,8.0,E,8,-0.3,E,8,55,E,8,1007,E,8,181,E,8,2.9,E,8,-9990,0,0,-9990,0,0,0.908,E,8,0.073,E,8,0.60,E,8,0,-9990,0,0
01/01/2005,13:00,160,1412,27,3,10,0,3,20,27,3,10,3141,3,10,0,3,20,3141,3,10,-9990,0,0,10,E,8,9,E,8,8.4,E,8,-0.1,E,8,55,E,8,1007,E,8,145,E,8,3.2,E,8,-9990,0,0,-9990,0,0,0.922,E,8,0.073,E,8,0.59,E,8,0,-9990,0,0
01/01/2005,14:00,147,1412,26,3,10,0,3,20,26,3,10,2987,3,10,0,3,20,2987,3,10,-9990,0,0,10,E,8,9,E,8,8.6,E,8,-0.2,E,8,54,E,8,1007,E,8,103,E,8,3.7,E,8,-9990,0,0,-9990,0,0,0.913,E,8,0.073,E,8,0.58,E,8,0,-9990,0,0
01/01/2005,15:00,91,1412,20,3,10,0,3,20,20,3,10,2264,3,10,0,3,20,2264,3,10,-9990,0,0,10,E,8,9,E,8,8.6,E,8,0.1,E,8,55,E,8,1007,E,8,145,E,8,3.2,E,8,-9990,0,0,-9990,0,0,0.937,E,8,0.073,E,8,0.58,E,8,0,-9990,0,0
01/01/2005,16:00,10,301,1,3,10,0,3,20,1,3,10,110,3,10,12,3,20,110,3,10,-9990,0,0,10,E,8,9,E,8,8.2,E,8,0.9,E,8,60,E,8,1007,E,8,176,E,8,4.4,E,8,-9990,0,0,-9990,0,0,0.989,E,8,0.073,E,8,0.57,E,8,0,-9990,0,0
01/01/2005,17:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.0,E,8,1.4,E,8,63,E,8,1007,E,8,81,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.024,E,8,0.073,E,8,0.56,E,8,0,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.8,E,8,1.6,E,8,65,E,8,1007,E,8,155,E,8,3.9,E,8,-9990,0,0,-9990,0,0,1.039,E,8,0.073,E,8,0.55,E,8,0,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.6,E,8,1.4,E,8,65,E,8,1007,E,8,142,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.023,E,8,0.073,E,8,0.55,E,8,0,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.4,E,8,1.6,E,8,66,E,8,1007,E,8,191,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.034,E,8,0.073,E,8,0.54,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.2,E,8,1.5,E,8,67,E,8,1007,E,8,204,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.030,E,8,0.073,E,8,0.54,E,8,0,-9990,0,0
