61870,Koebenhavns Airp.,,1,55.614,12.645,   5
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.4,E,8,5.6,E,8,83,E,8,1008,E,8,218,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.376,E,8,0.135,E,8,0.20,E,8,5,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.1,E,8,5.5,E,8,78,E,8,1008,E,8,252,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.361,E,8,0.135,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.8,E,8,5.2,E,8,78,E,8,1008,E,8,249,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.336,E,8,0.135,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.7,E,8,5.1,E,8,78,E,8,1008,E,8,310,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.327,E,8,0.135,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.6,E,8,5.0,E,8,78,E,8,1008,E,8,263,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.316,E,8,0.135,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.4,E,8,3.4,E,8,70,E,8,1008,E,8,252,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.174,E,8,0.135,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.3,E,8,4.7,E,8,78,E,8,1008,E,8,276,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.294,E,8,0.135,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.2,E,8,2.7,E,8,68,E,8,1008,E,8,237,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.119,E,8,0.135,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,4,150,0,3,10,0,3,20,0,3,10,30,3,10,7,3,20,30,3,10,-9990,0,0,10,E,8,9,E,8,8.2,E,8,3.1,E,8,70,E,8,1008,E,8,214,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.151,E,8,0.135,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,101,1412,5,3,10,0,3,20,5,3,10,623,3,10,10,3,20,622,3,10,-9990,0,0,10,E,8,9,E,8,8.2,E,8,3.3,E,8,71,E,8,1008,E,8,298,E,8,4.7,E,8,-9990,0,0,-9990,0,0,1.171,E,8,0.135,E,8,0.20,E,8,0,-9990,0,0
