11830,EVENES (CIV/MIL),,1,68.510,16.680,  26
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,5,E,8,3.8,E,8,3.2,E,8,96,E,8,1010,E,8,173,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.158,E,8,0.132,E,8,0.73,E,8,18,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,5,E,8,5.6,E,8,3.5,E,8,87,E,8,1010,E,8,162,E,8,1.6,E,8,-9990,0,0,-9990,0,0,1.185,E,8,0.132,E,8,0.72,E,8,1,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,5,E,8,5.5,E,8,3.6,E,8,87,E,8,1010,E,8,159,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.193,E,8,0.132,E,8,0.70,E,8,1,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,5.6,E,8,0.7,E,8,70,E,8,1010,E,8,220,E,8,1.6,E,8,-9990,0,0,-9990,0,0,0.973,E,8,0.132,E,8,0.69,E,8,1,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,5.7,E,8,0.2,E,8,67,E,8,1010,E,8,173,E,8,1.6,E,8,-9990,0,0,-9990,0,0,0.939,E,8,0.132,E,8,0.68,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,5.8,E,8,-0.5,E,8,64,E,8,1010,E,8,162,E,8,1.8,E,8,-9990,0,0,-9990,0,0,0.895,E,8,0.132,E,8,0.66,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,6.5,E,8,-0.5,E,8,61,E,8,1010,E,8,186,E,8,1.5,E,8,-9990,0,0,-9990,0,0,0.893,E,8,0.132,E,8,0.65,E,8,1,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,6.2,E,8,-2.8,E,8,52,E,8,1010,E,8,147,E,8,2.3,E,8,-9990,0,0,-9990,0,0,0.762,E,8,0.132,E,8,0.64,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,6.0,E,8,-3.4,E,8,51,E,8,1010,E,8,169,E,8,1.8,E,8,-9990,0,0,-9990,0,0,0.733,E,8,0.132,E,8,0.63,E,8,0,-9990,0,0
01/01/2005,10:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,5.6,E,8,-0.5,E,8,64,E,8,1010,E,8,208,E,8,3.7,E,8,-9990,0,0,-9990,0,0,0.894,E,8,0.132,E,8,0.62,E,8,0,-9990,0,0
