60800,Esbjerg,,1,55.510,8.550,  29
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.0,E,8,6.7,E,8,98,E,8,1005,E,8,218,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.484,E,8,0.127,E,8,0.21,E,8,7,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.0,E,8,6.8,E,8,92,E,8,1005,E,8,252,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.497,E,8,0.127,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.7,E,8,6.4,E,8,91,E,8,1005,E,8,249,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.457,E,8,0.127,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.5,E,8,6.2,E,8,92,E,8,1005,E,8,310,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.436,E,8,0.127,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.4,E,8,6.1,E,8,91,E,8,1005,E,8,263,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.417,E,8,0.127,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.3,E,8,5.7,E,8,90,E,8,1005,E,8,252,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.385,E,8,0.127,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.1,E,8,5.9,E,8,92,E,8,1005,E,8,276,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.399,E,8,0.127,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.1,E,8,5.3,E,8,88,E,8,1005,E,8,237,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.340,E,8,0.127,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.9,E,8,5.4,E,8,90,E,8,1005,E,8,214,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.354,E,8,0.127,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,63,681,3,3,10,0,3,20,3,3,10,359,3,10,10,3,20,358,3,10,-9990,0,0,10,E,8,9,E,8,6.9,E,8,5.9,E,8,93,E,8,1005,E,8,298,E,8,4.7,E,8,-9990,0,0,-9990,0,0,1.398,E,8,0.127,E,8,0.20,E,8,0,-9990,0,0
