61490,Gedser,,1,54.569,11.944,   3
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.6,E,8,5.8,E,8,88,E,8,1012,E,8,173,E,8,4.7,E,8,-9990,0,0,-9990,0,0,1.391,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.5,E,8,5.2,E,8,86,E,8,1012,E,8,207,E,8,4.3,E,8,-9990,0,0,-9990,0,0,1.336,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.3,E,8,4.8,E,8,84,E,8,1012,E,8,204,E,8,3.9,E,8,-9990,0,0,-9990,0,0,1.297,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.2,E,8,4.6,E,8,84,E,8,1012,E,8,265,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.282,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.1,E,8,4.4,E,8,83,E,8,1012,E,8,218,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.262,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.0,E,8,4.6,E,8,84,E,8,1012,E,8,207,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.278,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.9,E,8,4.3,E,8,83,E,8,1012,E,8,231,E,8,4.0,E,8,-9990,0,0,-9990,0,0,1.256,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.9,E,8,4.1,E,8,82,E,8,1012,E,8,192,E,8,4.9,E,8,-9990,0,0,-9990,0,0,1.233,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,6,196,0,3,10,0,3,20,0,3,10,56,3,10,8,3,20,56,3,10,-9990,0,0,10,E,8,9,E,8,6.9,E,8,4.4,E,8,84,E,8,1012,E,8,214,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.260,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,115,1412,26,3,10,0,3,20,26,3,10,2916,3,10,0,3,20,2916,3,10,-9990,0,0,10,E,8,9,E,8,7.3,E,8,4.6,E,8,83,E,8,1012,E,8,253,E,8,5.9,E,8,-9990,0,0,-9990,0,0,1.281,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,225,1412,51,3,10,0,3,20,51,3,10,5706,3,10,0,3,20,5706,3,10,-9990,0,0,10,E,8,9,E,8,7.6,E,8,4.0,E,8,77,E,8,1012,E,8,140,E,8,5.4,E,8,-9990,0,0,-9990,0,0,1.224,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,288,1412,73,3,10,1,3,20,72,3,10,8095,3,10,24,3,20,8090,3,10,-9990,0,0,10,E,8,9,E,8,8.0,E,8,4.1,E,8,77,E,8,1012,E,8,226,E,8,5.4,E,8,-9990,0,0,-9990,0,0,1.240,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,301,1412,93,3,10,39,3,20,85,3,10,10282,3,10,2915,3,20,9661,3,10,-9990,0,0,10,E,8,9,E,8,8.3,E,8,4.4,E,8,76,E,8,1012,E,8,190,E,8,5.7,E,8,-9990,0,0,-9990,0,0,1.259,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,263,1412,73,3,10,12,3,20,71,3,10,8073,3,10,1181,3,20,7854,3,10,-9990,0,0,10,E,8,9,E,8,8.4,E,8,4.3,E,8,75,E,8,1012,E,8,148,E,8,6.1,E,8,-9990,0,0,-9990,0,0,1.251,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,176,1412,40,3,10,0,3,20,40,3,10,4507,3,10,0,3,20,4507,3,10,-9990,0,0,10,E,8,9,E,8,8.4,E,8,4.5,E,8,76,E,8,1012,E,8,145,E,8,5.7,E,8,-9990,0,0,-9990,0,0,1.268,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,46,555,2,3,10,0,3,20,2,3,10,323,3,10,10,3,20,322,3,10,-9990,0,0,10,E,8,9,E,8,8.1,E,8,4.9,E,8,80,E,8,1012,E,8,221,E,8,6.9,E,8,-9990,0,0,-9990,0,0,1.304,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.9,E,8,5.1,E,8,82,E,8,1012,E,8,81,E,8,5.9,E,8,-9990,0,0,-9990,0,0,1.325,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.8,E,8,5.1,E,8,83,E,8,1012,E,8,200,E,8,6.2,E,8,-9990,0,0,-9990,0,0,1.329,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.6,E,8,4.9,E,8,83,E,8,1012,E,8,142,E,8,5.7,E,8,-9990,0,0,-9990,0,0,1.308,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.4,E,8,4.9,E,8,84,E,8,1012,E,8,191,E,8,5.7,E,8,-9990,0,0,-9990,0,0,1.308,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.2,E,8,4.8,E,8,84,E,8,1012,E,8,204,E,8,5.9,E,8,-9990,0,0,-9990,0,0,1.296,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.1,E,8,4.3,E,8,83,E,8,1012,E,8,165,E,8,5.1,E,8,-9990,0,0,-9990,0,0,1.256,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.9,E,8,3.3,E,8,78,E,8,1012,E,8,220,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.171,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.7,E,8,3.6,E,8,80,E,8,1012,E,8,171,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.190,E,8,0.113,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.4,E,8,3.3,E,8,80,E,8,1012,E,8,202,E,8,4.3,E,8,-9990,0,0,-9990,0,0,1.165,E,8,0.105,E,8,0.20,E,8,0,-9990,0,0
