26040,HALMSTAD (SWE-AFB),,1,56.680,12.830,  30
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.7,E,8,5.3,E,8,85,E,8,1005,E,8,173,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.340,E,8,0.153,E,8,0.61,E,8,3,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.9,E,8,4.7,E,8,80,E,8,1005,E,8,207,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.289,E,8,0.153,E,8,0.59,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.6,E,8,4.4,E,8,80,E,8,1005,E,8,249,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.265,E,8,0.153,E,8,0.56,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.5,E,8,4.3,E,8,80,E,8,1005,E,8,265,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.255,E,8,0.153,E,8,0.54,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.4,E,8,2.9,E,8,73,E,8,1005,E,8,263,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.136,E,8,0.153,E,8,0.51,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.2,E,8,3.1,E,8,75,E,8,1005,E,8,252,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.155,E,8,0.153,E,8,0.49,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.1,E,8,2.8,E,8,74,E,8,1005,E,8,231,E,8,2.5,E,8,-9990,0,0,-9990,0,0,1.130,E,8,0.153,E,8,0.47,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.0,E,8,2.5,E,8,73,E,8,1005,E,8,237,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.104,E,8,0.153,E,8,0.45,E,8,0,-9990,0,0
01/01/2005,09:00,1,75,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,10,E,8,9,E,8,7.0,E,8,2.9,E,8,75,E,8,1005,E,8,169,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.133,E,8,0.153,E,8,0.29,E,8,0,-9990,0,0
01/01/2005,10:00,81,1412,4,3,10,0,3,20,4,3,10,506,3,10,11,3,20,506,3,10,-9990,0,0,10,E,8,9,E,8,7.0,E,8,3.1,E,8,76,E,8,1005,E,8,253,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.151,E,8,0.153,E,8,0.28,E,8,0,-9990,0,0
