28230,MUONIO,,2,67.960,23.680, 253
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,5,E,8,1.3,E,8,-0.6,E,8,87,E,8,984,E,8,83,E,8,0.6,E,8,-9990,0,0,-9990,0,0,0.891,E,8,0.111,E,8,0.73,E,8,2,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,2.3,E,8,-1.7,E,8,75,E,8,984,E,8,117,E,8,0.5,E,8,-9990,0,0,-9990,0,0,0.824,E,8,0.111,E,8,0.72,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,1.7,E,8,-2.3,E,8,75,E,8,984,E,8,159,E,8,0.5,E,8,-9990,0,0,-9990,0,0,0.792,E,8,0.111,E,8,0.70,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,1.2,E,8,-3.9,E,8,69,E,8,984,E,8,265,E,8,0.5,E,8,-9990,0,0,-9990,0,0,0.705,E,8,0.111,E,8,0.69,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,0.8,E,8,-4.2,E,8,69,E,8,984,E,8,173,E,8,0.5,E,8,-9990,0,0,-9990,0,0,0.694,E,8,0.111,E,8,0.68,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,0.5,E,8,-4.5,E,8,69,E,8,984,E,8,162,E,8,0.5,E,8,-9990,0,0,-9990,0,0,0.677,E,8,0.111,E,8,0.66,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,0.2,E,8,-4.2,E,8,72,E,8,984,E,8,141,E,8,0.5,E,8,-9990,0,0,-9990,0,0,0.692,E,8,0.111,E,8,0.73,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,-0.2,E,8,-4.6,E,8,72,E,8,984,E,8,192,E,8,0.6,E,8,-9990,0,0,-9990,0,0,0.673,E,8,0.111,E,8,0.72,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,-0.4,E,8,-5.0,E,8,71,E,8,984,E,8,79,E,8,0.5,E,8,-9990,0,0,-9990,0,0,0.654,E,8,0.111,E,8,0.70,E,8,0,-9990,0,0
01/01/2005,10:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,-0.7,E,8,-4.6,E,8,75,E,8,984,E,8,163,E,8,0.7,E,8,-9990,0,0,-9990,0,0,0.675,E,8,0.111,E,8,0.73,E,8,0,-9990,0,0
