14480,OKSOY (LGT-H),,1,58.060,8.050,   8
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.2,E,8,5.9,E,8,85,E,8,1008,E,8,128,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.403,E,8,0.083,E,8,0.20,E,8,5,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,9.0,E,8,4.9,E,8,76,E,8,1008,E,8,162,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.307,E,8,0.083,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.7,E,8,4.6,E,8,76,E,8,1008,E,8,204,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.282,E,8,0.083,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.5,E,8,4.4,E,8,76,E,8,1008,E,8,265,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.262,E,8,0.083,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.3,E,8,4.3,E,8,76,E,8,1008,E,8,218,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.252,E,8,0.083,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.2,E,8,2.2,E,8,66,E,8,1008,E,8,207,E,8,3.9,E,8,-9990,0,0,-9990,0,0,1.079,E,8,0.083,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.0,E,8,4.0,E,8,76,E,8,1008,E,8,186,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.225,E,8,0.083,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.9,E,8,1.4,E,8,63,E,8,1008,E,8,237,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.025,E,8,0.083,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.8,E,8,1.9,E,8,66,E,8,1008,E,8,124,E,8,3.9,E,8,-9990,0,0,-9990,0,0,1.057,E,8,0.083,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,22,414,1,3,10,0,3,20,1,3,10,138,3,10,9,3,20,138,3,10,-9990,0,0,10,E,8,9,E,8,7.8,E,8,3.7,E,8,75,E,8,1008,E,8,208,E,8,5.4,E,8,-9990,0,0,-9990,0,0,1.204,E,8,0.083,E,8,0.20,E,8,0,-9990,0,0
