12410,Orland,,1,63.700,9.600,  10
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.0,E,8,3.6,E,8,79,E,8,1009,E,8,173,E,8,5.2,E,8,-9990,0,0,-9990,0,0,1.193,E,8,0.084,E,8,0.21,E,8,3,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.5,E,8,3.1,E,8,74,E,8,1009,E,8,207,E,8,4.6,E,8,-9990,0,0,-9990,0,0,1.156,E,8,0.084,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.4,E,8,3.1,E,8,74,E,8,1009,E,8,204,E,8,4.2,E,8,-9990,0,0,-9990,0,0,1.152,E,8,0.084,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.1,E,8,0.0,E,8,57,E,8,1009,E,8,265,E,8,4.6,E,8,-9990,0,0,-9990,0,0,0.929,E,8,0.084,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.7,E,8,-0.3,E,8,57,E,8,1009,E,8,218,E,8,4.6,E,8,-9990,0,0,-9990,0,0,0.909,E,8,0.084,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.4,E,8,0.1,E,8,59,E,8,1009,E,8,207,E,8,4.9,E,8,-9990,0,0,-9990,0,0,0.931,E,8,0.084,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.1,E,8,-0.3,E,8,59,E,8,1009,E,8,231,E,8,4.4,E,8,-9990,0,0,-9990,0,0,0.908,E,8,0.084,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.9,E,8,-0.7,E,8,58,E,8,1009,E,8,192,E,8,5.2,E,8,-9990,0,0,-9990,0,0,0.884,E,8,0.084,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.7,E,8,-0.2,E,8,61,E,8,1009,E,8,169,E,8,4.9,E,8,-9990,0,0,-9990,0,0,0.914,E,8,0.084,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.4,E,8,0.1,E,8,64,E,8,1009,E,8,253,E,8,6.4,E,8,-9990,0,0,-9990,0,0,0.934,E,8,0.084,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,12,403,1,3,10,0,3,20,1,3,10,167,3,10,16,3,20,167,3,10,-9990,0,0,10,E,8,9,E,8,6.4,E,8,-1.0,E,8,59,E,8,1009,E,8,95,E,8,5.9,E,8,-9990,0,0,-9990,0,0,0.864,E,8,0.084,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,64,1412,18,3,10,0,3,20,18,3,10,1968,3,10,0,3,20,1968,3,10,-9990,0,0,10,E,8,9,E,8,6.2,E,8,2.9,E,8,79,E,8,1009,E,8,181,E,8,5.7,E,8,-9990,0,0,-9990,0,0,1.134,E,8,0.084,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,80,1412,21,3,10,6,3,20,21,3,10,2362,3,10,577,3,20,2329,3,10,-9990,0,0,10,E,8,9,E,8,6.1,E,8,1.8,E,8,74,E,8,1009,E,8,145,E,8,6.2,E,8,-9990,0,0,-9990,0,0,1.054,E,8,0.084,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,57,1412,16,3,10,0,3,20,16,3,10,1767,3,10,0,3,20,1767,3,10,-9990,0,0,10,E,8,9,E,8,6.1,E,8,-1.4,E,8,59,E,8,1009,E,8,103,E,8,6.6,E,8,-9990,0,0,-9990,0,0,0.842,E,8,0.084,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,6,277,0,3,10,0,3,20,0,3,10,69,3,10,13,3,20,69,3,10,-9990,0,0,10,E,8,9,E,8,6.1,E,8,-1.2,E,8,60,E,8,1009,E,8,145,E,8,6.0,E,8,-9990,0,0,-9990,0,0,0.855,E,8,0.084,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.8,E,8,1.5,E,8,74,E,8,1010,E,8,176,E,8,7.2,E,8,-9990,0,0,-9990,0,0,1.029,E,8,0.084,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.4,E,8,2.0,E,8,79,E,8,1010,E,8,81,E,8,6.4,E,8,-9990,0,0,-9990,0,0,1.068,E,8,0.084,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,5.3,E,8,2.0,E,8,79,E,8,1010,E,8,155,E,8,6.8,E,8,-9990,0,0,-9990,0,0,1.064,E,8,0.084,E,8,0.20,E,8,0,-9990,0,0
