25900,Visby Airp.,,1,57.667,18.350,  51
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.1,E,8,3.0,E,8,80,E,8,1005,E,8,128,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.147,E,8,0.226,E,8,0.71,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.0,E,8,2.2,E,8,76,E,8,1005,E,8,162,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.080,E,8,0.226,E,8,0.68,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.8,E,8,1.7,E,8,75,E,8,1005,E,8,204,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.044,E,8,0.226,E,8,0.66,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.7,E,8,1.5,E,8,74,E,8,1005,E,8,265,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.030,E,8,0.226,E,8,0.64,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.6,E,8,1.2,E,8,74,E,8,1005,E,8,218,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.011,E,8,0.226,E,8,0.61,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.5,E,8,1.5,E,8,75,E,8,1005,E,8,207,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.028,E,8,0.226,E,8,0.59,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.4,E,8,1.2,E,8,74,E,8,1005,E,8,186,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.007,E,8,0.226,E,8,0.57,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,5.3,E,8,0.8,E,8,73,E,8,1005,E,8,237,E,8,3.8,E,8,-9990,0,0,-9990,0,0,0.984,E,8,0.226,E,8,0.55,E,8,0,-9990,0,0
01/01/2005,09:00,8,233,1,3,10,0,3,20,1,3,10,87,3,10,11,3,20,87,3,10,-9990,0,0,10,E,8,9,E,8,5.3,E,8,1.2,E,8,74,E,8,1005,E,8,124,E,8,3.5,E,8,-9990,0,0,-9990,0,0,1.007,E,8,0.226,E,8,0.53,E,8,0,-9990,0,0
01/01/2005,10:00,103,1412,20,3,10,0,3,20,20,3,10,2219,3,10,0,3,20,2219,3,10,-9990,0,0,10,E,8,9,E,8,5.6,E,8,1.4,E,8,74,E,8,1005,E,8,208,E,8,4.9,E,8,-9990,0,0,-9990,0,0,1.025,E,8,0.226,E,8,0.51,E,8,0,-9990,0,0
